RouteStartStore;Адрес отправки;RegionDelivery;RouteEndCity;RouteEndStore;Адрес доставки;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Пушкино;Хаб-Ozon-Box-871_Пушкино_2й_Фабричный;Московская обл, г Пушкино, 2-й Фабричный проезд, д 16;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_10_МТС(закрыт);Московская обл, г Сергиев Посад, ш Новоугличское, д 85;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_11;Город Сергиев Посад Проспект Красной армии Дом 91б;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_12;Московская обл, г Сергиев Посад, пр-кт Красной Армии, д 234 к 1;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_13;Московская обл, г Сергиев Посад, пр-кт Красной Армии, д 205Д;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_14;Московская обл, г Сергиев Посад, ш Новоугличское, д 73;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_15( ЗАКРЫТ);Московская обл, г Сергиев Посад, Московское шоссе, д 22Б;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_16;Город Сергиев Посад Проезд Хотьковский Дом 13;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Сергиев Посад;МО_СЕРГИЕВ_ПОСАД_9_МТС;Московская обл, г Сергиев Посад, пр-кт Красной Армии, д 139;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Фрязино;МО_ФРЯЗИНО_1;Московская обл, г Фрязино, ул Вокзальная, д 27;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Фрязино;МО_ФРЯЗИНО_2_МТС;Московская обл, г Фрязино, пр-кт Мира, д 18;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Фрязино;МО_ФРЯЗИНО_3;Московская обл, г Фрязино, пр-кт Мира, д 18;;
КОРОЛЕВ_ХАБ;Город Королев Улица Первомайская Дом 13Б;Московская область;Хотьково;МО_ХОТЬКОВО_2_МТС;Московская обл, Сергиево-Посадский р-н, г Хотьково, ул Михеенко, д 14;;
