308406,1,4515.200000,45.703567,39.598977
165969,1,5453.200000,45.704252,39.600720
110572,1,6470.600000,45.707003,39.608417
212718,1,8242.200000,45.593682,39.655068
216568,1,9215.700000,45.588264,39.658302
50002990,1,10289.900000,45.585785,39.673223
2172,1,11303.400000,45.581578,39.661141
50002276,1,12283.100000,45.573945,39.661363
314478,1,13263.000000,45.579004,39.657449
154604,1,14219.900000,45.578755,39.651147
128712,1,15162.100000,45.580811,39.651908
105650,1,16260.800000,45.585736,39.640470
212914,1,17276.900000,45.586908,39.649346
307661,1,19337.800000,45.738696,39.642720
215999,2,3716.800000,45.854718,39.654529
218038,2,6943.900000,45.792955,39.362568
303752,2,10625.500000,45.693892,39.457079
214619,2,12356.400000,45.627579,39.476381
215835,2,14499.200000,45.581534,39.554717
50006587,2,16090.400000,45.567636,39.653038
208338,2,17042.600000,45.567058,39.660313
112536,2,18019.200000,45.567298,39.670779
50002231,2,18989.900000,45.574728,39.670946
215788,2,20753.700000,45.485910,39.714185
304433,2,22898.100000,45.470064,39.884395
143388,2,25771.900000,45.586000,39.682000
106910,3,6989.100000,45.837521,39.021855
209497,3,8295.200000,45.804466,39.003254
141685,3,9242.900000,45.803724,39.004699
102972,3,10251.800000,45.799557,38.999412
306137,3,11203.500000,45.799860,38.994806
50002179,3,12297.100000,45.789995,38.999594
50001314,3,13272.100000,45.783427,39.003655
209587,3,14455.100000,45.809159,39.008547
308389,3,15780.400000,45.846306,39.020301
50006122,3,18305.900000,45.931470,38.873732
306408,4,8525.100000,45.879676,39.221209
50007500,4,11675.700000,45.811735,38.997816
310914,4,14186.400000,45.628036,38.939803
105126,4,15208.100000,45.624539,38.943999
307507,4,16292.000000,45.615265,38.931502
326907,4,17205.900000,45.613784,38.931367
324721,4,18155.900000,45.611653,38.932805
209545,4,19114.500000,45.610133,38.930307
50007648,4,20092.500000,45.613834,38.925600
172676,4,21029.900000,45.616179,38.928317
215472,4,22869.600000,45.618433,38.807149
166165,4,25287.100000,45.484578,38.667227
306779,4,26240.800000,45.486303,38.663463
3636,4,27202.000000,45.486481,38.668216
160322,4,28217.200000,45.484057,38.677892
308033,4,29899.900000,45.545819,38.783298
50006495,4,33108.600000,45.802336,39.000473
304282,5,7848.400000,46.788206,39.000619
50000162,5,10876.800000,46.656125,38.899298
323653,5,13013.600000,46.695629,38.750456
303046,5,14796.300000,46.701390,38.616535
304459,5,18278.700000,46.853792,38.472337
3505,5,24312.700000,46.673025,38.300978
160048,5,25309.200000,46.676892,38.297795
