office,route,time,lat,lng
212834,1,9215.700000,47.332952,41.269278
212939,1,10157.000000,47.335407,41.267418
305822,1,12084.200000,47.416016,41.209037
207170,1,16778.300000,47.339901,41.862409
302942,1,19365.200000,47.470090,41.944218
311569,1,21847.900000,47.421907,41.648398
302783,1,24478.200000,47.515693,41.780608
307282,2,14114.400000,47.976077,42.272858
210909,2,18160.800000,47.646020,42.057046
200653,2,19280.100000,47.645960,42.082442
138363,2,20380.900000,47.646536,42.100995
50004607,2,21366.200000,47.651405,42.103939
326781,2,22363.900000,47.643550,42.103274
320712,2,23330.900000,47.639962,42.102025
325800,2,24334.400000,47.643513,42.096366
3064,2,25283.800000,47.643088,42.091418
217812,3,12826.100000,47.512647,42.154044
323955,3,13756.500000,47.514767,42.157215
101392,3,14710.600000,47.516403,42.158366
5782,3,15792.700000,47.520555,42.153758
320846,3,16825.500000,47.517434,42.152181
204239,3,17928.200000,47.511679,42.147521
321877,3,18933.000000,47.517062,42.144021
204425,3,19876.600000,47.518492,42.146180
210915,3,20871.700000,47.521827,42.142014
215558,3,21915.000000,47.527074,42.140927
216087,3,23734.700000,47.539525,42.034922
321728,4,9605.300000,47.720267,41.418096
50005664,4,15075.500000,47.523165,42.149816
166686,4,16125.400000,47.513191,42.163847
50005365,4,17098.000000,47.511071,42.166838
208306,4,18107.600000,47.506924,42.162814
105595,4,19110.800000,47.506168,42.164320
307492,4,20130.500000,47.508285,42.166901
50008277,4,21136.600000,47.506283,42.169983
50000793,4,22210.900000,47.505163,42.175588
325834,4,23204.300000,47.503294,42.171914
207820,4,24216.700000,47.503258,42.168276
311277,4,25304.300000,47.503252,42.159257
154720,4,26361.400000,47.508145,42.162663
217352,4,27419.800000,47.521583,42.154433
218079,4,29567.800000,47.657055,42.046437
308020,5,11427.100000,47.632208,41.967458
324726,5,14335.000000,47.530442,42.182020
50007625,5,15516.600000,47.535370,42.200274
110679,5,16582.100000,47.533219,42.202446
166710,5,17629.200000,47.531351,42.210787
321106,5,18628.500000,47.528489,42.203256
314369,5,19648.100000,47.525599,42.203220
136372,5,20778.400000,47.530408,42.197500
110674,5,23091.800000,47.548687,42.016667
307134,6,9858.300000,47.436609,41.428630
318636,6,14363.000000,47.497710,42.186999
50008148,6,15527.000000,47.506569,42.196537
313956,6,16610.100000,47.515113,42.207391
104274,6,17584.900000,47.512922,42.203613
212744,6,18635.700000,47.509369,42.199708
1927,6,19739.200000,47.511318,42.190329
319684,6,20721.000000,47.514512,42.196088
210113,6,21783.700000,47.520356,42.196963
105651,6,22810.100000,47.523596,42.200522
320948,6,23852.100000,47.529816,42.192485
210902,7,9709.800000,47.610326,41.500291
165390,7,14879.900000,47.539519,42.201118
213587,7,16024.800000,47.528352,42.215599
50003855,7,17127.300000,47.524431,42.218600
160653,7,18141.400000,47.526592,42.223035
159570,7,19260.700000,47.519516,42.214050
145078,7,20329.600000,47.523141,42.214679
305844,7,21345.600000,47.520916,42.209377
162404,7,22435.000000,47.520220,42.200608
208109,7,23435.500000,47.517882,42.197856
212134,7,24468.600000,47.521872,42.197966
50001008,8,9493.200000,47.523336,41.297072
104218,8,15517.100000,47.516883,42.210296
326558,8,16656.100000,47.523214,42.226666
216154,8,17674.100000,47.526021,42.231813
304117,8,18694.000000,47.529731,42.229370
315462,8,19758.600000,47.524679,42.235125
3334,8,20867.100000,47.525182,42.226676
311825,8,21996.700000,47.530034,42.206421
310857,9,12982.000000,47.529509,42.185841
320036,9,14090.700000,47.525636,42.195899
309895,9,15091.600000,47.523798,42.196133
208394,9,16181.800000,47.516805,42.189763
159447,9,17270.400000,47.512662,42.187364
208603,9,18292.900000,47.509595,42.192075
208291,9,19442.600000,47.495934,42.192908
50007657,9,21656.400000,47.326790,42.233907
169231,9,26644.400000,47.273429,41.666569
168171,9,27546.100000,47.273507,41.666704
50001391,9,28619.100000,47.263384,41.667456
