office_id,dst_lat,dst_long,shk_cnt 
50007768,46.065042,38.956583,75
213609,46.060746,38.960706,330
301453,46.049151,38.976364,287
110694,45.980375,39.374396,730
310556,46.030195,39.283211,132
113006,46.107207,39.310673,648
212566,46.103457,39.413754,413
50001049,46.106960,39.547450,148
301589,46.065104,39.607884,378
50007897,45.981475,39.620708,253
110598,45.985087,39.754501,627
50010151,45.976646,39.351393,56
212362,45.707583,40.493771,187
218570,45.644359,40.410344,124
211537,45.545162,40.403173,362
169659,45.412020,40.441833,442
320656,45.405312,40.404245,170
50010149,45.406402,40.427673,0
302392,45.406864,40.442999,313
302245,45.409420,40.461251,256
50006825,45.433453,40.550742,153
208763,45.435698,40.544526,404
161890,45.432226,40.545060,495
303165,45.429975,40.549666,146
118698,45.431544,40.552014,641
216396,45.425865,40.550956,128
101548,45.420909,40.545489,655
323511,45.419480,40.546727,111
134126,45.418229,40.551312,609
215739,45.413072,40.547829,380
111515,45.380098,40.522623,632
166241,45.393242,40.600327,682
219119,45.413809,40.684222,335
109186,45.451294,40.574975,624
312464,45.451444,40.564262,297
50007212,45.446702,40.554884,199
308631,45.447549,40.564747,387
50006258,45.448517,40.589127,300
50006007,45.439910,40.573578,207
310265,45.437948,40.562507,357
123747,45.432492,40.560216,696
211503,45.434003,40.565078,271
161252,45.434212,40.575446,405
211326,45.428899,40.573676,263
316807,45.434958,40.592020,169
109278,45.440624,40.603654,640
304067,45.436913,40.646521,174
50003923,45.438948,40.655605,177
104172,45.439379,40.667617,776
207419,45.447891,40.682103,198
311117,45.548439,40.726004,276
303160,45.553065,40.592487,320
200510,46.459317,41.504528,360
150977,46.456928,41.543785,764
50008967,46.467928,41.561428,0
164397,46.469771,41.558149,646
166381,46.469901,41.555853,123
50009135,46.466674,41.533167,2
3370,46.468891,41.531318,607
5853,46.470703,41.544635,619
311331,46.473458,41.552535,126
161713,46.473755,41.540733,421
50008901,46.475444,41.541360,197
134975,46.488984,41.558814,787
304136,46.488916,41.552355,209
50007131,46.487154,41.540407,87
172005,46.493692,41.530391,364
114694,46.481165,41.536609,826
145859,46.480329,41.527709,376
171092,46.477418,41.531290,383
163870,46.472965,41.535315,109
212485,46.473546,41.512987,391
165782,46.467642,41.498393,425
128834,45.862591,40.126994,604
306860,45.856979,40.133473,407
110590,45.852153,40.127353,500
213147,45.848527,40.121528,406
50008166,45.850101,40.119360,112
312657,45.852985,40.122048,176
210140,45.857108,40.122220,556
142202,45.865783,40.106310,624
104642,45.846749,40.095804,1272
302547,45.847269,40.102540,266
312286,45.844299,40.092833,230
138694,45.840426,40.090190,166
50010186,45.845339,40.110083,95
309047,46.546446,41.587695,440
50009012,46.490281,41.925946,59
305640,46.743077,41.466790,147
210836,46.837050,41.336703,192
311157,46.656614,41.733141,87
50001840,46.696482,41.696693,160
301662,46.697490,41.709039,230
159242,46.696798,41.721535,612
316984,46.699764,41.726484,61
100348,46.702358,41.728932,732
301555,46.705995,41.727629,431
50003405,46.929391,41.556766,280
307667,46.639880,41.880429,128
307665,46.946280,42.008142,94
50002040,46.872308,42.037920,96
213275,46.868998,42.034442,263
50004972,46.866504,42.034687,70
50005219,46.864132,42.023647,140
316983,46.866598,42.043928,98
105695,46.877081,42.049984,520
326748,46.871759,42.047965,59
138633,46.872885,42.051970,410
129768,46.868845,42.059643,326
310900,46.868901,42.069425,260
164424,47.013450,42.207082,394
112076,46.435105,39.678641,532
50006106,46.317798,39.426278,104
113388,46.317710,39.412887,595
325158,46.321742,39.394395,75
145486,46.322919,39.397857,208
50006608,46.328986,39.397413,142
208089,46.341729,39.402696,316
210081,46.324487,39.394014,149
3798,46.324276,39.391995,636
304702,46.324586,39.388691,158
163603,46.325407,39.382977,406
5436,46.330843,39.369429,583
211454,46.333205,39.361696,393
50007553,46.314920,39.380004,59
1511,46.318177,39.383386,840
50000852,46.317192,39.390451,142
150289,46.313449,39.388555,216
209241,46.301430,39.381585,195
307424,46.313544,39.417599,163
159837,46.314839,39.419377,306
310914,45.628036,38.939803,233
105126,45.624539,38.943999,565
172676,45.616179,38.928317,441
50007648,45.613834,38.925600,98
307507,45.615265,38.931502,104
326907,45.613784,38.931367,0
324721,45.611653,38.932805,63
209545,45.610133,38.930307,164
215472,45.618433,38.807149,399
160322,45.484057,38.677892,662
3636,45.486481,38.668216,669
166165,45.484578,38.667227,462
306779,45.486303,38.663463,424
308033,45.545819,38.783298,227
111086,45.738336,38.742997,513
301172,45.737225,38.741769,469
50006009,45.735898,38.732076,58
111042,45.774438,38.671596,619
50005077,45.843675,38.615331,221
306664,45.939129,38.549000,402
