office_id,coordinates,,avg_shk
315450,54.742741,36.000767,560
50001784,54.756215,36.060765,112
317383,54.794476,35.917106,351
315452,54.798328,35.923413,676
2557,54.801238,35.926824,783
316941,54.807736,35.925649,678
315459,54.807850,35.929647,526
50007428,54.512872,36.237086,551
151344,54.516342,36.235696,375
138903,54.518579,36.241998,760
140942,54.517016,36.246251,625
30,54.522273,36.252652,838
157164,54.522702,36.263219,546
151511,54.519171,36.260353,440
3749,54.514738,36.267878,874
50004595,54.513688,36.249072,250
120747,54.511954,36.245336,487
163421,54.510819,36.238820,520
