office_id,coordinates,,dist_lm,avg_shk
157093,55.7971840000,37.4025970000,36,900
152748,55.5919540000,37.4579760000,21,449
311845,55.7618980000,35.7173720000,134,157
157857,55.7641110000,37.4942940000,34,378
3947,55.6579065640,37.4947387360,23,588
106584,55.6423040000,37.1000480000,18,539
131958,55.6877840000,37.2952570000,19,576
152219,55.5910420000,37.4472170000,21,480
125043,55.8728860000,36.9475480000,58,666
170602,55.6166330000,37.4100710000,18,368
145944,55.8177050000,37.0901220000,55,521
50002194,56.0030540000,35.6495520000,156,59
2132,55.6859340000,37.5648980000,29,352
200518,55.5570670000,37.3291940000,15,290
157963,55.8503510000,37.1784270000,55,355
50005675,55.5348360000,35.3704340000,130,95
130051,55.7440470000,36.8717620000,43,693
206109,55.9789560000,36.4497800000,100,518
310966,55.6699540000,37.2951480000,16,208
322541,55.6867310000,37.5389430000,27,0
110583,55.6701810000,37.2590930000,16,557
159056,55.7543900000,37.4118220000,33,529
169985,55.7013520000,37.3585890000,20,592
157384,55.6433330000,37.4115510000,16,284
204596,55.6479260000,37.4982240000,23,333
203466,55.6794110000,37.2547380000,18,427
131720,55.5581110000,36.9776480000,28,278
151393,55.8941260000,36.7059080000,87,848
311811,55.6469180000,37.5257870000,26,438
305898,55.5926240000,37.4611100000,21,213
3943,55.8344105210,37.1761855930,52,446
2999,55.5954473000,37.3424808650,13,1069
162455,55.2088710000,34.3191400000,207,448
5874,55.7935248990,37.3977639660,35,425
323826,55.6838280000,37.5320080000,28,0
127555,55.6461390000,37.5341820000,26,428
144802,55.6721990000,37.4923290000,23,529
161720,55.6741040000,37.2599370000,17,131
202637,55.6808690000,37.1803620000,22,749
310927,55.7004090000,37.3189590000,21,269
171793,55.8496710000,37.1769400000,55,293
105455,55.6464960000,37.4144560000,17,784
50000592,55.6606530000,37.3650380000,16,166
311039,55.6846050000,37.4075090000,20,360
124955,55.5315900000,35.6098290000,116,777
155442,55.6023830000,37.4128640000,18,524
303476,55.5884960000,37.1643090000,8,347
121327,55.6443100000,37.5267260000,25,600
203982,55.7513390000,37.4977140000,32,226
162508,55.9130270000,36.8236890000,82,361
308943,55.6477490000,37.4101590000,16,252
207005,55.7061500000,37.4013620000,24,292
304070,55.6323820000,37.3356360000,10,229
126732,55.6155490000,37.2631800000,7,709
129775,55.7147300000,37.0710300000,26,268
1931,55.6346972450,37.3432390670,13,411
171856,55.7147230000,37.5185640000,27,948
169277,55.7708410000,37.3769820000,32,269
155237,55.6851580000,37.4805250000,23,518
1872,55.5545107700,37.0718350330,19,999
164055,55.8575880000,37.1176910000,58,315
149409,55.9124830000,36.8603940000,67,220
50004470,56.0148460000,36.2242220000,118,261
597,55.6937071850,37.5529871490,29,473
140921,55.6050450000,37.3625490000,14,690
170564,55.5123610000,36.1035850000,81,491
133089,55.6566940000,37.2284350000,15,664
3803,55.6369318050,37.2212623640,16,492
317140,55.7568170000,37.2368660000,29,201
324377,55.5883890000,37.2266610000,2,0
166697,55.6435550000,37.3859570000,14,447
105622,55.7381490000,37.5290540000,31,392
213891,55.3884162970,36.7352201390,43,301
159679,55.6810460000,37.1926280000,21,1117
2822,55.5555610000,35.0084230000,155,418
204083,55.6648220000,37.2827790000,17,317
154293,55.7016530000,37.4988700000,24,421
206947,55.8045970000,37.0259680000,59,257
1849,55.7061292200,37.3277475770,21,744
4240,55.8052413230,37.4187711610,37,1167
310693,55.7345320000,37.3456880000,28,253
143999,55.9726050000,36.5394140000,99,489
308638,55.8003050000,37.3959910000,35,682
142995,55.5519860000,37.0813500000,15,527
161372,55.5577890000,36.3673790000,63,759
308169,55.6406240000,37.3430110000,13,426
305949,55.7370760000,37.5258630000,31,612
209165,56.0314680000,35.5125140000,160,493
160321,55.6307631100,37.5140642250,25,614
323076,55.6611250000,37.4542680000,21,0
123812,55.6751740000,37.4691390000,21,776
307430,55.5697130000,37.2831140000,13,291
203833,55.6116890000,37.2552910000,8,621
307563,55.6553930000,37.4702600000,23,347
50006748,55.7403550000,37.4977430000,30,0
210871,55.6236000000,37.3091720000,9,327
3732,55.7249424700,36.8737526560,44,1058
110045,55.6797400000,37.2793590000,17,453
306985,55.5779840000,36.6905740000,42,419
101474,55.2052750000,34.2751110000,209,530
3533,55.7467902250,37.4090128790,30,668
142224,55.6634890000,37.3012370000,15,514
2628,55.6801749750,37.2701885270,17,432
105733,55.3433010000,36.1861410000,85,895
146444,55.7935510000,37.4021170000,36,368
50003161,55.6717520000,37.5368770000,27,336
319146,55.6915310000,37.5381340000,26,75
50005305,56.1221840000,35.9642950000,146,89
124578,55.6147280000,36.9864410000,22,328
321525,55.6368665770,37.3260614330,11,10
308829,55.6958360000,37.4842540000,24,211
50001402,55.6851480000,37.3028480000,21,272
172502,55.6602500000,37.4827440000,23,385
160466,55.8200760000,37.2453690000,43,221
50000951,55.7895580000,37.4732300000,36,644
215705,55.8211940000,37.2471090000,43,204
214756,55.5918240000,37.4447080000,21,602
50004993,55.8115590000,37.3990020000,36,416
171986,55.5944380000,37.4596490000,21,350
305242,55.6588100000,37.2035750000,17,531
211051,55.7157550000,37.3896620000,26,683
216007,55.7001450000,37.4681990000,24,434
50004090,56.0439750000,35.9522040000,134,69
125305,55.7449040000,37.5097960000,31,265
203288,55.7928100000,37.0285100000,58,566
103644,55.7805930000,37.4791930000,36,797
129771,55.7522820000,37.1628300000,35,633
3773,55.6470106640,37.4798599330,21,381
320217,55.6534290980,37.2670500000,12,288
127148,55.4995860000,36.0604780000,83,351
561,55.6222544800,37.3026900340,8,531
50005617,56.0664940000,35.9321170000,137,49
160699,55.5975370000,37.0368620000,19,591
110488,55.8580030000,37.1215420000,58,561
106169,55.7038420000,37.5011240000,25,411
204645,55.3854950000,36.7188980000,44,123
306104,55.6407970000,37.3651370000,13,284
205497,55.6553820000,37.2300710000,15,330
319542,55.6857000000,37.5480500000,28,117
306577,55.6779050000,37.2349170000,18,292
131326,55.8104960000,37.1282420000,52,715
307633,55.6554930000,37.4846670000,23,463
206468,55.3650610000,36.4871190000,61,280
311757,55.5796730000,36.8854800000,31,239
305829,55.5510840000,37.0714950000,16,102
50005275,55.8097200000,37.4057300000,37,236
123571,56.0294840000,35.9546410000,132,270
153148,55.8418120000,37.1458040000,60,1120
162064,55.3827960000,36.7514000000,43,466
212962,55.6202700000,37.2670140000,7,488
207517,55.6940180000,37.3275240000,20,232
5453,55.6515620000,37.5171410000,25,1073
107830,55.8495390000,37.1985680000,52,611
142180,55.5538550000,36.9771420000,27,584
313610,55.8850440000,36.3177550000,116,267
101886,55.6377110000,37.5412770000,26,1056
153142,55.8406320000,37.1326740000,58,921
2365,55.7399800000,36.8627170000,43,384
209089,56.0870160000,36.5049770000,113,402
2920,56.0322649960,35.5077353560,160,809
50004320,55.6982620000,37.5536140000,29,199
213523,55.5908300000,37.3724350000,14,511
207474,55.6486070000,36.0370650000,96,418
50005797,55.6377180000,37.3150380000,12,339
173136,55.6533240000,37.4099180000,16,837
201071,55.7024480000,37.5108020000,24,934
157029,55.9151011550,36.7936021850,82,518
304920,55.7032760000,36.2057530000,83,274
106464,55.5898510000,37.3731040000,14,961
304888,55.8565930000,37.1739300000,52,104
50005431,56.0029240000,35.9255130000,135,139
215362,55.7071720000,37.4600980000,25,473
209843,55.8113610000,37.4115350000,37,367
205129,55.7941160000,37.3903130000,35,451
305721,55.5846450000,35.8690560000,101,317
205962,55.7677710000,37.2436630000,32,448
105790,55.6365670000,37.3486290000,12,515
209436,55.6633490000,37.4787380000,22,369
316266,55.6195982790,37.4162574110,18,294
216354,55.7242270000,36.8395130000,45,329
139897,55.6886820000,37.4629160000,22,656
135311,55.5312390000,37.0677760000,17,640
131037,55.6783880000,37.2678120000,17,543
203183,55.3792240000,36.6996290000,45,354
321546,55.6368700000,37.3234550000,11,431
202919,55.3904590000,36.6923000000,47,244
205536,55.6430430000,37.3432360000,13,312
167707,55.7435530000,37.4309740000,29,466
202479,55.8348100000,37.1791500000,52,352
126473,55.6208970000,37.2644230000,7,615
172860,55.6833560000,37.5643470000,29,365
166510,55.6415390000,37.0983720000,17,627
159461,55.5904600000,37.3785740000,15,592
132140,55.6448870000,37.5101880000,24,499
167934,55.4275440000,36.6607050000,50,487
205600,55.3773680000,36.5425400000,57,893
301761,55.6103510000,37.1996220000,7,902
123108,55.6600620000,37.2989860000,15,524
142024,55.6385510000,37.2203170000,15,674
157632,55.7246389360,37.1589283240,29,892
205590,55.6318840000,37.4870650000,23,264
135832,55.7063990000,37.0212110000,27,486
101907,56.0261160000,35.9545060000,132,603
50001464,55.5308570000,35.9441370000,94,142
138613,55.9594280000,36.2236530000,119,973
5964,55.5116757450,36.9737657950,22,1041
5354,55.6294606830,37.0042835790,25,758
311074,55.7229660000,37.4763350000,27,285
159484,55.4150010000,36.7250060000,46,678
5380,55.8646500000,37.1265470000,57,882
159828,55.7396950000,36.8664390000,43,394
310410,55.7375070000,37.4843610000,29,394
112102,55.7968590000,37.4859470000,37,574
208679,55.5909940000,37.3690180000,14,308
204696,55.5670290000,36.9956590000,30,700
50002519,55.6202290000,36.5074040000,59,186
206511,55.6676960000,37.4651640000,21,703
211190,55.6487340000,37.4069480000,16,326
150932,55.6006430000,37.3566570000,13,318
307111,55.6183900000,36.9814570000,27,204
158057,55.6359160000,37.2106980000,16,563
169294,55.6071970000,35.5727350000,125,317
908,55.6585670000,37.2290380000,17,594
113104,55.5915850000,37.0329620000,20,824
147677,55.8040660000,37.3980870000,35,911
305161,55.8490540000,37.1817370000,55,199
173039,55.8641510000,37.1850610000,53,256
135322,55.6301410000,36.3351280000,70,1161
156783,55.7541990000,37.5224130000,34,571
160666,55.5963300000,37.3424810000,13,568
169755,55.7055210000,37.4789880000,25,624
218121,55.6719100000,37.2846930000,16,285
205970,55.6140830000,37.3862250000,15,859
307022,55.7309380000,37.4417540000,28,528
50001952,55.3433180000,36.1928620000,84,177
211413,55.7456300000,37.3946110000,30,284
158569,55.7248850000,37.5289810000,28,710
160811,55.5931560000,37.0360480000,20,651
324770,55.7464560000,37.4073490000,30,0
209822,56.1285928160,35.8349880850,147,306
211247,55.9364340000,36.7034020000,92,200
139703,55.8111730000,37.0078590000,60,863
124818,55.7128890000,37.5134460000,27,186
140112,55.4779190000,37.0227800000,27,642
304752,55.7470280000,37.4069630000,30,116
50003570,55.7624900000,37.5162600000,36,284
157605,55.6801840000,37.5244530000,25,416
125185,55.5966760000,36.6930170000,43,808
133808,55.7391190000,37.4927450000,30,879
1665,55.7357450000,37.4326430000,28,335
320527,55.5061740000,37.2727720000,21,0
128333,55.5486000000,37.3297930000,17,605
1950,55.5480273900,37.0711254490,15,510
103180,55.6310930000,37.5155430000,25,1150
152460,55.6807630000,37.5334990000,28,286
210681,55.6521400000,37.5230680000,25,805
147643,55.4634980000,36.9402950000,28,1306
142988,55.6254960000,37.3038300000,8,620
215268,55.5925830000,37.4626400000,21,158
307929,55.7124970000,37.4033780000,25,321
2885,55.5954680300,37.0437917720,19,556
207577,55.4102390000,36.7160230000,45,506
306381,55.6841730000,37.3116510000,21,196
5376,55.7296774900,37.4219890220,27,577
209905,55.5542870000,36.9724020000,27,475
321314,55.5892290000,37.1674000000,8,0
215762,55.7222500000,37.5123370000,28,365
124783,55.7030010000,36.8634690000,42,385
200559,55.7377890000,37.4108020000,27,708
143699,55.9054270000,36.8581550000,67,354
172271,55.7513450000,37.5266700000,34,518
50004329,55.6800420000,37.1516790000,22,155
106980,55.3868900000,36.7279380000,43,875
103699,55.7052390000,37.0263810000,27,530
319185,55.4331590000,35.0546610000,157,345
50005132,55.6391100000,36.9715130000,28,150
110037,55.6665690000,37.5069180000,24,613
303117,55.8643380000,35.8775810000,114,351
50005306,55.5901290000,37.3760600000,16,154
320671,55.6126650000,37.2521560000,8,0
312361,55.7165497640,37.4283196440,24,186
205243,55.7355730000,37.4680320000,28,418
208404,55.6135550000,37.3048780000,9,407
140594,55.7045490000,37.3212790000,21,445
5734,55.6456952090,37.5181026610,25,793
114037,55.6783790000,37.1883840000,21,708
161433,55.7100900000,36.6852470000,56,980
157902,55.6674460000,37.5171230000,25,618
141854,55.5154870000,36.9708390000,22,601
306708,55.7715800000,37.2365610000,45,117
158183,55.6049580000,37.3532550000,13,285
170376,55.6707330000,36.5237290000,67,447
202872,55.9266510000,35.9067170000,144,183
104691,55.8377000000,37.1829390000,52,515
837,55.6541126510,37.4053611150,16,506
306252,55.7047070000,36.2083670000,83,101
143375,55.6608000000,37.0930460000,19,395
170323,55.6171260000,37.4088130000,18,493
127198,55.5637950000,37.0929640000,17,415
309467,55.8399620000,37.1759430000,52,70
135583,55.6520860000,37.4245160000,18,389
158596,55.3765400000,36.7270560000,44,377
6108,55.6987160000,37.5624430000,30,658
50002933,55.5889740000,37.1660970000,8,437
146281,55.7438060000,37.4071510000,28,230
133276,55.7326880000,37.4176000000,27,502
203346,55.6390950000,37.3574740000,12,768
304873,55.5440100000,37.0728340000,15,184
157375,55.6188830000,37.4144090000,18,445
207505,55.7563810000,37.5089750000,33,687
308486,55.6818030000,37.2956520000,18,183
213929,55.7435970000,37.4219540000,28,353
3068,55.6323342910,37.5245777450,25,698
308800,55.7192360000,37.4432920000,27,144
206590,55.7068590000,37.3979320000,23,308
129312,55.6164210000,37.4166630000,18,665
134636,55.7276500000,36.8611570000,43,355
131047,55.6604730000,37.2170730000,17,451
172675,55.3724000000,35.8978400000,101,512
204812,55.6642480000,37.5175900000,25,507
209221,55.5148300000,37.2262030000,18,471
158300,55.7265190000,37.3274740000,30,346
172057,55.8515760000,36.5119390000,96,389
101857,55.5781910000,36.6998960000,41,572
212547,56.0779140000,35.9259040000,138,232
109849,55.6421730000,37.5417110000,26,937
50006377,55.7065430000,37.3783130000,21,63
209248,55.8561390000,37.1844710000,53,300
143032,55.7872550000,37.2989490000,41,719
5090,55.6231020000,37.3122300000,9,497
209270,55.6768340000,37.4448260000,20,311
207513,55.7034490000,37.3260600000,21,204
139520,55.6330870000,37.4128700000,16,439
589,55.6782929610,37.5279262660,26,329
218538,55.6895640290,37.3506362710,19,395
115073,55.6616720000,37.4720060000,21,729
305940,55.2294090000,34.2602900000,206,155
320262,55.7196320000,37.3877290000,26,0
203988,55.6493170000,37.4690460000,24,253
319552,55.7499549710,37.5027298890,31,184
148217,55.7415170000,37.4804410000,30,234
163339,55.8081890000,37.3256740000,37,285
309106,55.4657920000,36.9357690000,28,469
204526,55.8084530000,37.4118180000,37,568
5628,55.7086919510,37.4006703640,24,688
129566,55.3248650000,36.7566180000,47,774
201426,55.6629280000,37.5345770000,27,625
215291,55.6709650000,37.2823660000,16,479
212459,55.7492480000,37.4160300000,30,403
323169,55.6294871080,37.3402935710,11,0
105892,55.7421780000,36.8512250000,45,1017
155426,55.7023790000,37.5038720000,25,665
2607,55.6483351540,37.5001766560,23,514
5988,55.7333697360,37.4717348130,28,648
1418,55.6842000520,37.5382111360,27,291
211679,55.6684690000,37.5345640000,26,449
212303,55.5422900000,36.3815920000,61,462
106680,55.9950330000,36.4800150000,102,494
306385,55.6612930000,37.5132330000,25,178
112239,55.6014120000,37.0442790000,19,691
173161,55.6087670000,36.6004270000,50,559
209961,55.5597160000,34.9851180000,156,270
146910,55.7743690000,37.4733730000,34,625
309749,55.7232930000,37.2773000000,23,562
109169,55.6384370000,37.3378360000,13,294
150989,55.5059770000,36.0204090000,86,411
206184,55.6020120000,37.3542850000,13,486
315228,55.6593175610,37.4913590580,23,226
104817,55.6719980000,37.4505620000,20,1167
145933,55.6385670000,37.3308030000,11,779
154968,55.7577320000,36.1447220000,90,202
107927,55.6190590000,37.4079070000,18,437
128896,55.6434640000,37.3375240000,13,610
202752,55.4490650000,35.5133970000,119,237
324817,55.8170010000,37.2068990000,45,0
203376,55.7190090000,37.4150020000,26,841
309176,55.7248700000,37.3277130000,25,124
308992,56.0193440000,35.9395190000,133,177
50006080,55.6854640000,37.2671200000,18,159
208652,55.6328850000,37.5199540000,27,398
211732,55.8174710000,37.2493850000,44,327
202642,55.7331640000,37.5381810000,31,528
111429,55.6222920000,37.3067270000,9,318
206216,55.6928510000,37.5627660000,29,380
155435,55.6705690000,37.4713000000,22,216
50000581,55.3170970000,36.2388200000,80,266
5520,55.5746120000,36.6958530000,41,512
209547,55.6851830000,37.4613820000,21,603
305072,55.7416270000,37.4959940000,30,172
157256,55.7522568540,37.5068727690,32,638
164051,55.7041030000,37.0231300000,27,585
163115,55.6745190000,37.2651790000,17,453
157690,55.6645880000,37.2844590000,17,516
149434,55.7388400000,36.9823020000,35,393
105570,55.7141330000,37.0684230000,26,600
154040,55.7726240000,37.2167430000,32,763
212498,55.4870190000,36.5125360000,64,281
318897,55.5369307660,37.1600489660,13,287
2071,55.6586482280,37.1993228480,17,596
214229,55.4173073880,36.8104030480,37,366
155443,55.3796500000,36.7344940000,44,324
2626,55.2157650000,34.3145570000,206,549
211713,55.6535100000,37.4719380000,23,302
203333,55.6856250000,37.1935320000,22,591
202498,55.6569340000,37.4069890000,16,199
140606,55.7879080000,37.2980690000,41,419
50001595,55.7095210000,37.4746750000,26,249
107992,55.6516590000,37.3435100000,14,749
202453,55.6969760000,37.3367050000,20,691
143655,55.7148820000,37.4327590000,25,490
120005,55.6857900000,37.4843500000,23,369
169448,56.0011780000,36.4752150000,102,433
214634,56.4437750000,35.6126100000,193,240
166062,55.7074510000,37.3215770000,22,590
50003531,55.6058240000,37.3600000000,13,254
2024,55.7012037610,36.1955626030,83,493
134225,55.5976690000,36.4676870000,58,384
213780,55.8896390000,37.1829850000,56,864
171909,55.4974220000,36.0574710000,83,156
213593,55.8602920000,37.1208310000,58,154
216544,55.6935460000,37.4555790000,22,457
159751,55.7178890000,37.5129110000,27,349
105450,55.6818420000,37.2904470000,18,851
212248,55.2146910000,34.3044690000,206,305
214622,55.4667860000,36.3538730000,70,500
106782,55.3844730000,36.7393700000,43,290
203385,55.6852700000,37.3085980000,21,844
105021,55.5937540000,37.4577810000,21,422
140506,55.6596120000,37.2132250000,17,613
206471,55.6686200000,37.2906480000,16,543
171065,55.6392230000,37.5129050000,24,514
50004559,55.5933920000,37.4296590000,21,57
210664,55.5350650000,37.0595480000,16,286
305868,55.8441060000,37.1563230000,54,85
140120,55.8629360000,37.0454190000,70,388
214254,55.7381000000,37.4894730000,29,389
160964,55.6805340000,37.2817690000,17,429
317692,55.6861570000,37.4076450000,21,107
309991,55.8330710000,34.8632570000,190,71
203450,55.6618410000,37.5160090000,25,491
1761,55.7998856690,37.4076186360,36,334
3949,55.7197730000,37.4004640000,25,912
146294,55.5989730000,37.3586890000,13,1045
110480,55.8628310000,37.0486280000,71,437
161074,55.7910610000,37.4884930000,36,463
1860,55.7213970000,37.4233840000,26,512
134105,55.7047660000,36.1931240000,83,856
50000826,55.5915380000,37.4557140000,21,194
122015,55.6141490000,36.6182230000,50,402
164087,55.6778640000,37.2549080000,17,525
211299,55.6699220000,37.4522730000,19,302
113270,55.7483820000,37.1601300000,35,1025
210084,55.8520950000,37.2002790000,52,511
137174,55.6403480000,37.0162040000,25,983
216455,55.9847030000,36.0251110000,130,470
145384,55.5984800000,37.3520660000,12,854
544,55.5407070000,37.0822150000,14,782
309771,55.7709020000,37.3780990000,32,176
145935,55.6418010000,37.5018270000,23,611
50006561,55.7152000000,37.4078970000,25,10
162207,55.6778810000,37.2812260000,17,493
1926,55.6454060000,37.3425040000,13,498
126017,55.2191220000,34.3057270000,206,736
205170,55.3254650000,36.7841840000,49,309
217696,55.7071230000,36.1831080000,84,243
140908,55.5407470000,35.0038130000,153,216
204408,55.6965800000,37.5615530000,29,296
201220,55.7026730000,37.0258790000,27,495
117372,55.7255680000,37.4684120000,28,870
202681,55.9082180000,36.4428930000,109,217
112464,55.7058080000,37.5815490000,31,512
171873,55.5276320000,37.0293640000,18,575
210707,55.7503526090,37.4148678930,31,404
303475,55.5945960000,37.0515170000,20,151
122585,55.6253000000,37.5082750000,26,517
129685,55.6566670000,37.5170860000,25,449
157978,55.7211070000,37.4525320000,27,17
50004757,55.6429410000,37.0533760000,26,151
126451,55.4056300000,36.7204040000,44,597
162350,55.6026710000,37.0294780000,20,762
583,55.6420732150,37.5227720370,25,461
50005828,55.5454160000,37.1547510000,12,133
306737,55.8334610000,34.8588820000,190,472
315017,55.7179561880,37.4965625790,26,91
126010,55.7393580000,37.5003910000,30,824
5828,56.0350439610,35.9590470630,132,405
204378,55.3769990000,36.7366580000,45,350
108997,55.4121530000,36.7211000000,45,0
209225,55.7511680000,37.4046900000,33,436
155445,55.7009180000,37.3241900000,21,314
171002,56.0817030000,36.5162380000,112,463
101882,55.7129730000,37.3980220000,25,544
50005804,55.6780580000,37.2368620000,18,112
159326,55.7008840000,36.1931960000,83,155
207446,55.7189480000,37.4602140000,26,431
309414,55.7937580000,37.4849890000,36,85
105643,55.6762280000,37.2488390000,17,700
50003820,55.7680460000,37.4996590000,34,243
3415,55.5066526360,36.0164135930,87,365
138891,55.6625170000,37.4240930000,19,688
309589,55.7370150000,37.4351870000,29,273
141117,55.6634090000,37.5141970000,25,438
202942,55.6769496380,37.5343329570,26,494
170441,55.8308110000,36.9990910000,61,749
211775,55.6120900000,37.2870190000,8,284
161086,55.6817220000,37.2967390000,18,651
311146,55.6424380000,37.5104570000,24,146
308002,55.5251550000,37.2210870000,16,494
5512,55.5457771450,37.0851579830,14,652
159224,55.8103930000,37.0801640000,56,242
305847,56.1273720000,36.6473560000,125,219
305382,55.7964760000,37.3921490000,35,534
308603,55.7053650000,37.2165450000,26,80
170374,55.8068240000,37.4060600000,37,860
122382,55.7233070000,37.3994740000,26,329
50003261,55.6083330000,36.8267400000,36,167
206310,55.8076730000,37.3916810000,35,271
144798,55.9054010000,36.8559540000,68,238
151114,55.5988887690,36.4679915270,58,392
204928,55.7232920000,37.3780390000,26,86
203822,55.7418850000,37.4203250000,28,483
203875,55.6565800000,37.4047970000,16,367
109057,56.2183820000,35.6588920000,165,776
105281,55.6546290000,37.2724400000,13,869
305894,55.7582300000,37.4057590000,34,219
2471,55.6892860010,37.5323972220,28,196
215607,55.6039170000,37.3706430000,14,911
152756,55.8510740000,37.1978720000,52,477
203449,55.6443441630,37.4977074920,23,305
316078,55.8161920130,37.2019057050,49,92
142226,55.6803650000,37.2461830000,18,577
104077,55.8394720000,37.1748850000,52,602
3562,55.7284989880,37.4112423440,26,930
208115,55.7221070000,37.4084090000,25,404
2180,55.6881729080,37.3094408830,21,784
5351,55.7423470000,37.3977550000,29,608
301560,55.7027810000,37.4896140000,25,400
157075,55.6980900000,37.4951360000,24,698
306312,55.5122960000,36.6937900000,47,266
2254,55.7364830000,37.4873260000,29,625
306676,55.5694020000,37.2864900000,13,263
307839,55.6872600000,37.5644680000,29,261
309910,55.7227660000,36.8656730000,40,309
146389,55.8872520000,37.0326250000,67,450
