office_id;lat;long;route_num
50001007;45.098809;38.651802;107
111753;45.098062;38.639256;107
214354;45.098316;38.633823;107
166121;45.10712;38.65086;107
112779;45.15027;39.034682;108
214020;45.159559;39.023597;108
307160;45.161465;39.018324;108
158314;45.160245;39.016402;108
307167;45.157817;39.016393;108
309765;45.162419;39.010508;108
318271;45.154025;39.010901;108
312340;45.150253;39.016016;108
319966;45.150549507;39.012993839;108
203076;45.150584;39.006961;108
301416;45.146281267;38.995859373;108
127374;45.145912;38.993234;108
214779;45.142967;38.994611;108
50006425;45.137043;38.993971;108
123078;45.137574;38.998094;108
160580;45.105086;38.956043;109
308919;45.108068;38.933856;109
150148;45.102514;38.930237;109
308121;45.100631;38.928098;109
50007486;45.100275;38.917884;109
311080;45.102792;38.913687;109
102081;45.113765;38.921291;109
217698;45.120389;38.916893;109
320672;45.131315;38.90758;109
50001880;45.133737;38.905379;109
168175;45.129376;38.907413;109
313779;45.10384707;38.907652827;109
139667;45.113155;38.927943;109
130971;45.113994;38.929646;109
211869;45.118424558;38.929750712;109
314525;45.121265;38.934056;109
318295;45.121311;38.936382;109
318205;45.119511;38.937934;109
50003926;45.130118;38.940207;109
325165;45.122494;38.943576;109
165263;45.127054;38.951913;109
308356;45.01943;39.012234;110
311605;45.015694;39.017272;110
162181;45.015473;39.017669;110
314961;45.011331;39.013455;110
50007850;45.002773;39.020588;110
50004592;45.003291;39.026864;110
150877;45.002737;39.031928;110
307799;45.001428;39.032212;110
50003893;44.999797;39.03117;110
314488;45.004553935;39.03487562;110
162363;45.009324;39.033165;110
321461;45.012287675;39.036178063;110
325824;45.011677;39.037856;110
139490;45.010514;39.040809;110
50003019;45.013568;39.03983;110
50001411;45.014886;39.046103;110
216293;45.01727;39.047026;110
307082;45.023552;39.040989;110
205001;45.026087;39.032553;110
5927;45.026998548;39.02960086;111
319556;44.647605;39.16245;111
211901;44.631064;39.14575;111
145434;44.633399;39.139175;111
50003228;44.635009;39.127164;111
162110;44.631366;39.120544;111
5204;44.630679797;39.107095909;111
322248;44.62978506;39.105646968;111
214232;44.625387;39.102254;111
150864;44.626314;39.105246;111
164095;44.62821;39.10573;111
325114;44.630468;39.111848;111
50005589;44.625547;39.117633;111
169155;44.630653;39.127944;111
215000;44.636664;39.143567;111
3319;44.63531;39.137755;111
322799;44.63549;39.136174;111
147976;45.019921;39.039414;111
50005846;45.024922;39.036452;111
158835;45.018621;39.028484;112
6007;45.01374868;39.025858749;112
50005059;45.016565;39.032674;112
1283;45.018045539;39.036297118;112
157598;45.017581;39.038598;112
5074;45.012658754;39.048564091;112
145143;45.013236;39.051497;112
202826;45.021527;39.047953;112
217460;45.025388;39.04824;112
315869;45.024278;39.049155;112
213591;45.028591;39.051919;112
139563;45.0333;39.044264;112
305933;45.033613;39.04316;112
310234;45.0327;39.043307;112
308819;45.031221;39.03166;113
312212;45.031477;39.031988;113
209621;45.033623;39.03038;113
50007108;45.033451;39.036596;113
6071;45.029421;39.038196;113
213810;45.028285;39.04297;113
302715;45.025783;39.018082;113
163299;45.025099;39.019223;113
309713;45.025514;39.019941;113
151474;45.025832;39.019776;113
165829;45.025502;39.014053;114
50007505;45.01985;39.002505;114
50006291;45.017493;38.992857;114
110453;45.014377;38.991151;114
321507;45.008591;38.996792;114
101476;45.016999245;38.998866746;114
213506;45.0174;38.998714;114
169926;45.021325;39.011786;114
322743;45.022692;39.01306;114
141696;45.021968;39.017663;114
150856;45.020985;39.022243;114
306764;45.021658;39.024323;114
50008202;45.027196;39.025825;114
50007202;44.988454;38.944935;115
50005151;44.985566;38.934564;115
131764;44.979437;38.937668;115
214766;44.980105;38.935077;115
215617;44.974992;38.922411;115
304033;44.999835;38.774638;115
317711;44.897915;38.838527;115
161599;44.901933;38.84058;115
158609;44.912327;38.84474;115
50004793;44.914902;38.845255;115
50007703;44.915036;38.833667;115
308240;44.914009;38.830711;115
113180;44.913405;38.834657;115
214777;44.911389;38.840271;115
310640;44.902327;38.846818;115
2440;44.895077;38.842292;115
50003195;44.989369;38.951112;116
50003702;44.999898;38.974718;116
210964;44.98597;38.975637;116
319707;44.98678;38.979724;116
50003803;44.986525;38.98744;116
167731;44.998021;38.992646;116
301666;44.920602;38.988653;116
50002389;44.922357;38.994878;116
112527;44.916898;38.995987;116
307267;44.882461;39.064606;116
304109;44.887053;39.263537;116
50005083;44.901771;39.414158;116
167759;44.887688;39.384553;116
313279;44.883055;39.379564;116
308390;44.891951;39.382043;116
313277;44.883145;39.203;116
4216;44.882592276;39.193483542;116
323419;44.882506;39.188609;116
50004059;44.87657;39.187894;116
304724;44.877448;39.188555;116
304025;44.882408;39.183802;116
164339;44.986755;38.960895;117
50003798;44.932938;38.907364;117
166643;44.929935;38.918387;117
310160;44.92507;38.917758;117
154130;44.922698;38.915363;117
212849;44.921489;38.91242;117
209702;44.921302;38.908424;117
162103;44.917916;38.907171;117
200316;44.921932;38.906062;117
303278;44.776403;38.836469;117
303079;44.785731;38.801588;117
300251;44.784976;38.797492;117
302732;44.784356;38.797527;117
305733;44.802023;38.814245;117
5052;44.924248;38.903747;118
207550;44.83676;38.8741;118
320519;44.829875;38.882715;118
111179;44.828791;38.887665;118
219048;44.761269;38.976481;118
164054;44.638793;39.156518;118
319604;44.648266;39.170454;118
113171;44.648149;39.177749;118
209658;44.652793;39.17765;118
300319;44.754919;39.288008;118
305189;44.758612;39.434911;118
302407;44.691586;39.305004;118
316792;44.686268;39.428711;118
207874;44.707431;39.229473;118
208797;44.708962;39.21758;118
322476;44.720453;39.224622;118
315611;44.750707;39.242203;118
321732;44.831972;39.213852;118
159308;45.021853;38.94527;119
305288;45.019494;38.943324;119
309818;45.020869;38.944885;119
50000939;45.01104;38.944364;119
147107;45.00543;38.939695;119
310558;45.000682;38.938401;119
127647;44.997408;38.942979;119
309369;44.996833;38.939156;119
307049;45.000224;38.932329;119
145791;45.001237;38.93143;119
306795;45.00146;38.931035;119
127373;44.993323;38.929784;119
157339;44.991327;38.928576;119
305612;44.991115;38.932634;119
307832;44.989056;38.928717;119
50004018;44.981773;38.94737;120
3639;44.979935052;38.941263962;120
309035;44.976898;38.941608;120
150876;44.971068;38.934012;120
307778;44.970458;38.936964;120
158196;44.998928;38.926405;120
122573;45.014742;38.916447;120
306618;45.015193;38.915701;120
308070;45.037763;38.894393;120
307145;45.019411;38.919608;120
205295;45.021744;38.924913;120
205211;45.024454611;38.92858862;120
159686;45.023908;38.937077;120
50005687;45.029487;38.941776;120
125077;45.028485;38.946227;120
153887;44.555125;38.10818;121
208250;44.567865;38.080681;121
200024;44.574318;38.07601;121
519;44.569281944;38.080567425;121
5339;44.566696658;38.088471491;121
135293;44.562792;38.093921;121
171401;44.425656;38.773605;122
137230;44.370589;38.540573;122
324938;44.370602;38.532704;122
160512;44.373712;38.534814;122
216461;44.419694;38.359716;122
108664;44.38062;38.531518;122
3439;44.367498;38.538285;122
309455;44.554744;38.096752;123
209155;44.553673;38.090566;123
50003387;44.552113;38.05845;123
306402;44.547299;38.058843;123
136999;44.548952;38.059641;123
106470;44.55092;38.064496;123
321884;44.548192;38.071284;123
164591;44.549335;38.086834;123
313229;44.551288;38.09482;123
319880;44.549669;38.098854;123
210786;44.551776;38.103193;123
151567;44.553331;38.106813;123
5083;44.578818267;38.074470398;124
50000825;44.581386;38.072632;124
303377;44.588477;38.057216;124
5278;44.588217656;38.055346593;124
161014;44.590092;38.049518;124
308501;44.591132;38.048153;124
322403;44.575868206;38.077411653;124
207238;44.574682;38.083706;124
159497;44.471689066;38.39997177;125
312277;44.547401;38.229632;125
171004;44.504313;38.144749;125
160791;44.500595691;38.142732078;125
166751;44.502273;38.132561;125
50001884;44.507116;38.132702;125
217316;44.594213;38.114269;125
109164;44.371492;38.527961;126
301684;44.37307;38.52541;126
211880;44.556107987;38.084252898;126
213272;44.558113014;38.089569831;126
211275;44.558290671;38.09723456;126
106658;44.556073;38.105688;126
319647;44.554782;38.113981;126
310195;44.511337;38.320073;126
202620;44.552946;38.099316;127
159518;44.55281;38.098135;127
112633;44.550121;38.083523;127
309937;44.551866;38.076836;127
123765;44.553375;38.073803;127
213288;44.553121;38.065612;127
304120;44.549374;38.071617;127
159995;44.548404;38.076836;127
200414;44.548596;38.081687;127
150545;44.649986;37.937506;128
50007561;44.64981;37.940313;128
3861;44.652711985;37.946299705;128
300789;44.652146;37.947844;128
149055;44.599564;38.033308;129
311731;44.571929;38.021473;129
203141;44.600794;38.028067;129
101806;44.60473;38.03179;129
324070;44.605265;38.032639;129
171672;44.582716;38.000102;129
303092;44.608788;38.029913187;129
311506;44.619221;38.027833;129
219089;45.237069;39.886124;130
159973;45.31664;39.94932;130
309309;45.308014;39.935675;130
211640;45.308185;39.932459;130
50001650;45.304535;39.931395;130
105688;45.298151;39.912673;130
206600;45.292198;39.914787;130
50003810;45.26547;39.797649;130
206953;45.235476;39.715525;130
169970;45.222648;39.723097;130
207721;45.219744;39.712784;130
113153;45.215869;39.700286;130
132183;45.221571;39.694176;130
50007401;44.953792;39.581819;131
111350;44.955808;39.60002;131
310754;44.976699;39.700598;131
302080;45.048667;39.649283;131
308451;44.999905;39.696004;131
300276;44.932706;39.757068;131
118116;44.925891;39.762919;131
304993;44.899313;39.850928;131
50002824;44.952368;39.866481;131
215917;45.03591;39.841576;131
50004982;45.09437;40.003848;131
207556;45.105548;39.89409;131
207571;45.140895;39.746777;131
5664;45.210518;39.688702;131
306478;45.216158;39.693076;131
215631;45.229652;39.720492;131
109821;45.06353;39.300308;132
150467;45.196609;39.243205;132
215048;45.206335;39.238142;132
50004096;45.220895;39.235151;132
141226;45.217409;39.229532;132
146127;45.219015;39.22835;132
147796;45.222438;39.228154;132
50002244;45.220222;39.222525;132
168931;45.239686;39.210886;132
310907;45.222361;39.214588;132
306819;45.221326;39.209836;132
217912;45.207421;39.225434;132
162653;45.211219;39.232657;132
304467;45.134397;39.191723;132
206618;45.426925;39.197925;133
319879;45.404434;39.377758;133
