office,route,time,lat,lng
50006277,3,2507.000000,54.486773,36.244147
163421,3,3835.200000,54.510819,36.238820
151344,3,4876.400000,54.516342,36.235696
138903,3,5872.400000,54.518579,36.241998
140942,3,6867.500000,54.517016,36.246251
50004595,3,7884.700000,54.513688,36.249072
120747,3,8888.600000,54.511954,36.245336
50007428,3,9895.200000,54.512872,36.237086
150528,4,556.700000,54.519370,36.253552
30,4,1553.800000,54.522273,36.252652
142814,4,2540.000000,54.520330,36.259046
151511,4,3470.900000,54.519171,36.260353
150015,4,4454.100000,54.515337,36.262264
3749,4,5426.300000,54.514738,36.267878
50006589,4,6394.500000,54.515481,36.271618
139749,4,7358.700000,54.513756,36.273146
121748,4,8389.900000,54.514395,36.281418
120313,4,9415.700000,54.510093,36.276621
140019,4,10385.000000,54.509742,36.271663
102630,4,11322.500000,54.510293,36.265636
120746,5,550.100000,54.510920,36.259799
327260,5,1497.500000,54.507798,36.262185
102629,5,2499.400000,54.505653,36.272074
215673,5,3518.300000,54.504358,36.263425
151370,5,4578.700000,54.517054,36.266518
120661,5,5539.200000,54.521282,36.269353
157871,5,6510.600000,54.519080,36.272201
157164,5,7561.800000,54.522702,36.263219
120311,5,8627.000000,54.528444,36.256140
172594,5,9688.500000,54.526345,36.266963
50000541,5,10682.100000,54.524820,36.272430
163503,5,11772.800000,54.517099,36.276872
162951,5,12746.600000,54.513579,36.277493
161650,5,14148.300000,54.493504,36.220782
136573,6,605.300000,54.512173,36.269695
207981,6,1703.900000,54.516903,36.286098
150927,6,2771.000000,54.519486,36.295334
207844,6,3970.600000,54.511682,36.285398
207551,6,4962.500000,54.508916,36.286009
50007935,6,5928.200000,54.506412,36.288560
138409,6,6929.800000,54.510292,36.284643
122156,6,7906.800000,54.508530,36.281993
141563,6,8883.900000,54.507876,36.278225
205617,6,9867.700000,54.507490,36.275308
1596,6,10883.200000,54.506256,36.277178
161390,6,11922.700000,54.501936,36.282076
50001745,6,12945.500000,54.499517,36.275507
103412,6,13925.900000,54.498707,36.268027
123431,6,14906.800000,54.502242,36.260871
50008316,6,15872.000000,54.506793,36.254740
50007922,7,635.200000,54.528326,36.261035
171185,7,1576.000000,54.530003,36.263973
320670,7,2618.400000,54.532933,36.255612
157263,7,3706.000000,54.530579,36.258927
105541,7,4669.100000,54.532587,36.262799
125765,7,5599.500000,54.533947,36.263962
141524,7,6576.800000,54.533023,36.268447
309514,7,7626.600000,54.535002,36.270378
1984,7,8619.100000,54.533089,36.272351
143452,7,9639.900000,54.531883,36.267263
50001199,7,10693.500000,54.531290,36.275132
103033,7,11861.300000,54.518839,36.288679
50009940,7,12925.800000,54.510652,36.279900
50008396,7,13991.800000,54.508796,36.292072
207613,7,14982.500000,54.510193,36.297764
110173,7,15974.400000,54.505787,36.294639
50008231,7,17190.300000,54.479686,36.302906
150179,8,837.400000,54.534011,36.167354
126540,8,2251.800000,54.565495,36.221767
5061,8,3218.800000,54.568027,36.224580
203495,8,4225.800000,54.566251,36.231300
50006585,8,5214.800000,54.567103,36.236854
200369,8,6842.400000,54.558534,36.125993
162899,8,8046.200000,54.528347,36.107459
216820,8,9455.200000,54.539385,36.129422
315347,8,10722.600000,54.538340,36.159337
office,route,time,lat,lng
315451,1,2229.600000,54.688862,36.053031
157974,1,3494.700000,54.692989,36.023063
317383,1,5688.000000,54.794476,35.917106
315452,1,6698.100000,54.798328,35.923413
2557,1,7665.100000,54.801238,35.926824
316941,1,8679.400000,54.807736,35.925649
315459,1,9633.200000,54.807850,35.929647
319683,1,11563.200000,54.721297,35.966154
216778,1,13025.800000,54.681128,35.928704
50009156,1,14089.600000,54.676954,35.939367
114158,1,15078.900000,54.680035,35.939485
318709,2,2632.100000,54.818490,36.319256
210498,2,3683.500000,54.808459,36.313389
105619,2,4634.100000,54.807983,36.310471
50001784,2,7839.200000,54.756215,36.060765
315450,2,9164.000000,54.742741,36.000767
301580,2,14227.000000,54.988835,35.315361
50002997,2,17499.800000,54.892152,35.676412
157079,2,19302.600000,54.967905,35.855608
105540,2,20235.400000,54.968885,35.858366
50008706,2,21195.700000,54.966866,35.864279
151963,2,22154.300000,54.965543,35.873942
