"car_type","car_type_numb","src","src_coordinates","dst","dst_coordinates"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",210127,"{""latitude"": 55.58783, ""longitude"": 37.226277}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",144154,"{""latitude"": 45.032496, ""longitude"": 34.045926}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",301920,"{""latitude"": 44.033866, ""longitude"": 43.165161}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",218616,"{""latitude"": 47.366609, ""longitude"": 39.716696}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",300865,"{""latitude"": 56.113115518, ""longitude"": 37.180161011}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",117442,"{""latitude"": 54.483186, ""longitude"": 36.218078}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",311800,"{""latitude"": 59.74376, ""longitude"": 30.509576}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",207016,"{""latitude"": 50.593676, ""longitude"": 36.679399}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",218225,"{""latitude"": 55.150464, ""longitude"": 61.448817}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",302445,"{""latitude"": 55.347781246, ""longitude"": 37.614404928}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",205228,"{""latitude"": 55.65431, ""longitude"": 37.888459}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",217081,"{""latitude"": 53.320124, ""longitude"": 34.248998}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",207022,"{""latitude"": 55.968988, ""longitude"": 37.320131}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",161520,"{""latitude"": 55.141009, ""longitude"": 82.985385}"
gazel,1,206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}",209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",1193,"{""latitude"": 48.449121, ""longitude"": 135.11073}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",686,"{""latitude"": 54.941901, ""longitude"": 82.916459}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",117986,"{""latitude"": 55.848147, ""longitude"": 48.843685}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,214951,"{""latitude"": 43.357235, ""longitude"": 132.122865}",213849,"{""latitude"": 55.310288, ""longitude"": 86.140728}"
gazel,1,209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}",300219,"{""latitude"": 59.207319, ""longitude"": 39.800209}"
gazel,1,209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}",207404,"{""latitude"": 57.662651, ""longitude"": 39.78925}"
gazel,1,209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}",120762,"{""latitude"": 55.747074, ""longitude"": 38.4115}"
gazel,1,209207,"{""latitude"": 64.57634987, ""longitude"": 40.596223935}",507,"{""latitude"": 55.38614, ""longitude"": 37.583393}"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",6144,"{""latitude"": 48.7554, ""longitude"": 44.4405}"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",206348,"{""latitude"": 54.437235, ""longitude"": 37.464906}"
gazel,1,169872,"{""latitude"": 46.312097, ""longitude"": 48.056881}",206236,"{""latitude"": 55.328742812, ""longitude"": 37.82100529}"
