route_id,office_id,hub_office_id,latitude,longitude,latitude,longitude
1,206348,120762,54.437235,37.464906,55.747074,38.4115
2,159402,161443,59.789885,30.436123,61.820477,34.283712
2,206348,507,54.437235,37.464906,55.38614,37.583393
3,206348,117986,54.437235,37.464906,55.848147,48.843685
5,206348,208277,54.437235,37.464906,44.662695,41.896576
6,206348,130744,54.437235,37.464906,45.055356,39.067991
7,206348,206236,54.437235,37.464906,55.328742812,37.82100529
8,206348,300571,54.437235,37.464906,56.726696,60.578278
9,206348,301760,54.437235,37.464906,54.678615,39.571775
33,507,300219,55.38614,37.583393,59.207319,39.800209
33,117986,300219,55.848147,48.843685,59.207319,39.800209
33,120762,300219,55.747074,38.4115,59.207319,39.800209
33,144649,300219,56.09682,40.354817,59.207319,39.800209
33,203632,203631,56.956633,41.040809,59.234185,39.923862
33,206236,300219,55.328742812,37.82100529,59.207319,39.800209
33,206348,300219,54.437235,37.464906,59.207319,39.800209
33,207404,300219,57.662651,39.78925,59.207319,39.800209
33,209207,300219,64.57634987,40.596223935,59.207319,39.800209
33,210514,300219,67.203755,32.441947,59.207319,39.800209
33,217678,313603,55.59003931,37.227566347,59.207363,39.792313
33,218402,203631,56.951769,40.941105,59.234185,39.923862
33,302769,300219,64.527853,40.653662,59.207319,39.800209
33,311895,300219,59.158741,37.935271,59.207319,39.800209
33,312617,313603,55.821289315,38.241913137,59.207363,39.792313
34,117866,203631,52.727738,41.387093,59.234185,39.923862
50,300864,218785,56.113127507,37.180021536,62.11628,129.77395
51,507,117501,55.38614,37.583393,55.413049,37.588278
51,300363,117501,52.126005,23.64126,55.413049,37.588278
81,300169,217678,56.084241,37.155839,55.59003931,37.227566347
82,300169,301562,56.084241,37.155839,44.662814,41.895601
83,300169,218616,56.084241,37.155839,47.366609,39.716696
84,300169,132170,56.084241,37.155839,45.054368,39.069009
85,300169,161812,56.084241,37.155839,59.82158,30.355816
86,300169,310498,56.084241,37.155839,56.072313,47.231244
87,300169,305087,56.084241,37.155839,53.101059,46.583837
88,300169,303945,56.084241,37.155839,56.72846,60.577676
89,300169,313605,56.084241,37.155839,52.599222,39.392841
90,300169,313603,56.084241,37.155839,59.207363,39.792313
91,300169,314751,56.084241,37.155839,53.320124,34.248998
92,300169,315036,56.084241,37.155839,46.383882,48.004837
99,120762,142375,55.747074,38.4115,55.783176,38.445296
101,507,303219,55.38614,37.583393,58.667818,49.672559
101,117986,303219,55.848147,48.843685,58.667818,49.672559
101,120762,205205,55.747074,38.4115,58.571995,49.576179
101,209208,205205,61.729299178,50.768561871,58.571995,49.576179
101,218210,205205,55.823819179,38.251653675,58.571995,49.576179
101,300571,205205,56.726696,60.578278,58.571995,49.576179
101,303219,205205,58.667818,49.672559,58.571995,49.576179
102,507,118535,55.38614,37.583393,56.169053,43.895555
102,117986,118535,55.848147,48.843685,56.169053,43.895555
102,120762,118535,55.747074,38.4115,56.169053,43.895555
