src_id,dst_id,latitude,longitude,latitude,longitude
686,507,54.941901,82.916459,55.38614,37.583393
1733,507,56.767604,60.81316,55.38614,37.583393
2737,507,59.869844,30.519603,55.38614,37.583393
6144,507,48.7554,44.4405,55.38614,37.583393
6145,507,56.075378,92.948591,55.38614,37.583393
6156,507,54.570603,39.809207,55.38614,37.583393
117230,507,53.091476,50.126734,55.38614,37.583393
117442,507,54.483186,36.218078,55.38614,37.583393
117456,507,56.825157,35.87904,55.38614,37.583393
117501,507,55.413049,37.588278,55.38614,37.583393
117819,507,57.142964,65.597514,55.38614,37.583393
117866,507,52.727738,41.387093,55.38614,37.583393
117986,507,55.848147,48.843685,55.38614,37.583393
118535,507,56.169053,43.895555,55.38614,37.583393
120762,507,55.747074,38.4115,55.38614,37.583393
130486,507,51.672394,39.296102,55.38614,37.583393
130744,507,45.055356,39.067991,55.38614,37.583393
131643,507,52.319649,104.248228,55.38614,37.583393
133533,507,47.367228,39.712646,55.38614,37.583393
133858,507,53.23448,44.906253,55.38614,37.583393
140302,507,51.765435,36.131845,55.38614,37.583393
144154,507,45.032496,34.045926,55.38614,37.583393
144649,507,56.09682,40.354817,55.38614,37.583393
149445,507,54.565769,55.931327,55.38614,37.583393
158311,507,44.03429,43.164327,55.38614,37.583393
158751,507,43.088653,44.644355,55.38614,37.583393
158929,507,51.601574,45.943636,55.38614,37.583393
160030,507,52.599422,39.392793,55.38614,37.583393
161003,507,61.244861,73.500957,55.38614,37.583393
161443,507,61.820477,34.283712,55.38614,37.583393
161520,507,55.141009,82.985385,55.38614,37.583393
168458,507,55.010898,73.446973,55.38614,37.583393
169537,507,59.620754,60.618892,55.38614,37.583393
169872,507,46.312097,48.056881,55.38614,37.583393
172430,507,53.384265,83.739861,55.38614,37.583393
203631,507,59.234185,39.923862,55.38614,37.583393
204615,507,56.516407,85.024625,55.38614,37.583393
204952,507,55.744370258,52.479285244,55.38614,37.583393
205104,507,54.356576,48.598839,55.38614,37.583393
205205,507,58.571995,49.576179,55.38614,37.583393
205228,507,55.65431,37.888459,55.38614,37.583393
205985,507,46.312237,39.946724,55.38614,37.583393
206236,507,55.328742812,37.82100529,55.38614,37.583393
206298,507,53.722084,91.382578,55.38614,37.583393
206319,507,51.726981,55.100593,55.38614,37.583393
206348,507,54.437235,37.464906,55.38614,37.583393
206708,507,53.760427,87.092846,55.38614,37.583393
206844,507,54.666244,20.45905,55.38614,37.583393
206968,507,55.125659,37.556262,55.38614,37.583393
207022,507,55.968988,37.320131,55.38614,37.583393
207404,507,57.662651,39.78925,55.38614,37.583393
207743,507,55.996703739,37.883953939,55.38614,37.583393
207803,507,54.786513,32.100785,55.38614,37.583393
208277,507,44.662695,41.896576,55.38614,37.583393
208941,507,55.419053328,37.705055377,55.38614,37.583393
209207,507,64.57634987,40.596223935,55.38614,37.583393
209208,507,61.729299178,50.768561871,55.38614,37.583393
209211,507,43.03146948,47.433087104,55.38614,37.583393
210001,507,55.125925956,37.556771605,55.38614,37.583393
210127,507,55.58783,37.226277,55.38614,37.583393
210515,507,55.918678542,37.562207434,55.38614,37.583393
211415,507,51.800428813,39.21810555,55.38614,37.583393
211470,507,57.926741,59.990923,55.38614,37.583393
211644,507,56.763865443,60.742442033,55.38614,37.583393
213849,507,55.310288,86.140728,55.38614,37.583393
214951,507,43.357235,132.122865,55.38614,37.583393
216566,507,57.924337,56.164468,55.38614,37.583393
217081,507,53.320124,34.248998,55.38614,37.583393
218210,507,55.823819179,38.251653675,55.38614,37.583393
218225,507,55.150464,61.448817,55.38614,37.583393
218402,507,56.951769,40.941105,55.38614,37.583393
218616,507,47.366609,39.716696,55.38614,37.583393
218623,507,55.411823,37.589796,55.38614,37.583393
218628,507,56.905912,53.359074,55.38614,37.583393
218644,507,48.449259,135.12843,55.38614,37.583393
218674,507,52.007122,113.560661,55.38614,37.583393
218916,507,56.072212198,47.231122167,55.38614,37.583393
219030,507,56.30041,101.700708,55.38614,37.583393
300168,507,56.084394,37.155605,55.38614,37.583393
300219,507,59.207319,39.800209,55.38614,37.583393
300363,507,52.126005,23.64126,55.38614,37.583393
300571,507,56.726696,60.578278,55.38614,37.583393
300862,507,53.719708,91.376873,55.38614,37.583393
300864,507,56.113127507,37.180021536,55.38614,37.583393
300987,507,54.815902,31.975506,55.38614,37.583393
301760,507,54.678615,39.571775,55.38614,37.583393
301920,507,44.033866,43.165161,55.38614,37.583393
301957,507,47.367953,39.71672,55.38614,37.583393
302222,507,54.584504,55.907014,55.38614,37.583393
302335,507,53.101049,46.583858,55.38614,37.583393
302445,507,55.347781246,37.614404928,55.38614,37.583393
302597,507,54.582532,39.766525,55.38614,37.583393
302738,507,51.645263,46.009598,55.38614,37.583393
302769,507,64.527853,40.653662,55.38614,37.583393
302856,507,55.575239899,37.697530594,55.38614,37.583393
303024,507,51.840969,107.641213,55.38614,37.583393
303295,507,56.331209,36.678842,55.38614,37.583393
311800,507,59.74376,30.509576,55.38614,37.583393
507,686,55.38614,37.583393,54.941901,82.916459
1733,686,56.767604,60.81316,54.941901,82.916459
6145,686,56.075378,92.948591,54.941901,82.916459
117986,686,55.848147,48.843685,54.941901,82.916459
120762,686,55.747074,38.4115,54.941901,82.916459
130744,686,45.055356,39.067991,54.941901,82.916459
131643,686,52.319649,104.248228,54.941901,82.916459
161520,686,55.141009,82.985385,54.941901,82.916459
168458,686,55.010898,73.446973,54.941901,82.916459
172430,686,53.384265,83.739861,54.941901,82.916459
204615,686,56.516407,85.024625,54.941901,82.916459
