132170,45.054368,39.069009,217678,55.59003931,37.227566347,78934.027950,21.926119 hours in route,1372345.600000,62.589536 km/h,rest: 10.000000,total time: 31.926119 ,87820.061750,24.394462 hours in route,1375995.600000,56.406066 km/h,rest: 12.000000,total time: 36.394462 ,107435.937500,29.843316 hours in route,1392536.900000,46.661601 km/h,rest: 10.000000,total time: 39.843316 
132170,45.054368,39.069009,301239,47.366836,39.717654,19894.468250,5.526241 hours in route,304413.200000,55.085037 km/h,rest: 0.000000,total time: 5.526241 ,23487.244550,6.524235 hours in route,304413.200000,46.658837 km/h,rest: 0.000000,total time: 6.524235 ,28272.159650,7.853378 hours in route,337563.600000,42.983238 km/h,rest: 0.000000,total time: 7.853378 
132170,45.054368,39.069009,301562,44.662814,41.895601,18801.792900,5.222720 hours in route,291771.000000,55.865715 km/h,rest: 0.000000,total time: 5.222720 ,19145.469350,5.318186 hours in route,291771.000000,54.862881 km/h,rest: 0.000000,total time: 5.318186 ,21237.995400,5.899443 hours in route,291771.000000,49.457380 km/h,rest: 0.000000,total time: 5.899443 
132170,45.054368,39.069009,312617,55.818728,38.244617,80097.596200,22.249332 hours in route,1388588.100000,62.410327 km/h,rest: 10.000000,total time: 32.249332 ,89420.960950,24.839156 hours in route,1403495.600000,56.503353 km/h,rest: 12.000000,total time: 36.839156 ,109411.217600,30.392005 hours in route,1418382.500000,46.669593 km/h,rest: 10.000000,total time: 40.392005 
217678,55.59003931,37.227566347,132170,45.054368,39.069009,79090.632500,21.969620 hours in route,1362308.300000,62.008733 km/h,rest: 10.000000,total time: 31.969620 ,87691.197900,24.358666 hours in route,1392346.900000,57.160228 km/h,rest: 12.000000,total time: 36.358666 ,107104.708800,29.751308 hours in route,1391030.400000,46.755269 km/h,rest: 10.000000,total time: 39.751308 
217678,55.59003931,37.227566347,218616,47.366609,39.716696,60800.738500,16.889094 hours in route,1074677.200000,63.631430 km/h,rest: 10.000000,total time: 26.889094 ,66181.841550,18.383845 hours in route,1079321.200000,58.710308 km/h,rest: 10.000000,total time: 28.383845 ,81319.016850,22.588616 hours in route,1078814.200000,47.759199 km/h,rest: 10.000000,total time: 32.588616 
217678,55.59003931,37.227566347,300169,56.084241,37.155839,5314.596500,1.476277 hours in route,83825.700000,56.781831 km/h,rest: 0.000000,total time: 1.476277 ,5594.255950,1.553960 hours in route,76226.100000,49.052807 km/h,rest: 0.000000,total time: 1.553960 ,6057.193700,1.682554 hours in route,76227.700000,45.304762 km/h,rest: 0.000000,total time: 1.682554 
217678,55.59003931,37.227566347,301562,44.662814,41.895601,83226.012150,23.118337 hours in route,1452869.200000,62.844884 km/h,rest: 10.000000,total time: 33.118337 ,90930.339550,25.258428 hours in route,1457515.700000,57.704134 km/h,rest: 12.000000,total time: 37.258428 ,110149.309900,30.597031 hours in route,1472515.000000,48.126075 km/h,rest: 10.000000,total time: 40.597031 
217678,55.59003931,37.227566347,303945,56.72846,60.577676,110425.768500,30.673825 hours in route,1865577.300000,60.819846 km/h,rest: 12.000000,total time: 42.673825 ,117464.082000,32.628912 hours in route,1862965.700000,57.095551 km/h,rest: 20.000000,total time: 52.628912 ,138313.351950,38.420376 hours in route,1820337.100000,47.379472 km/h,rest: 22.000000,total time: 60.420376 
217678,55.59003931,37.227566347,305087,53.101059,46.583837,49077.091900,13.632526 hours in route,796044.100000,58.393003 km/h,rest: 2.000000,total time: 15.632526 ,52385.703850,14.551584 hours in route,789534.600000,54.257638 km/h,rest: 2.000000,total time: 16.551584 ,59284.128350,16.467813 hours in route,785414.100000,47.693891 km/h,rest: 12.000000,total time: 28.467813 
217678,55.59003931,37.227566347,310498,56.072313,47.231244,42310.613550,11.752948 hours in route,719484.500000,61.217363 km/h,rest: 2.000000,total time: 13.752948 ,44728.440800,12.424567 hours in route,755055.900000,60.771205 km/h,rest: 2.000000,total time: 14.424567 ,57297.586000,15.915996 hours in route,755101.400000,47.442924 km/h,rest: 2.000000,total time: 17.915996 
217678,55.59003931,37.227566347,313603,59.207363,39.792313,33306.385400,9.251774 hours in route,514579.800000,55.619583 km/h,rest: 2.000000,total time: 11.251774 ,38154.724750,10.598535 hours in route,513367.100000,48.437555 km/h,rest: 2.000000,total time: 12.598535 ,47947.073300,13.318631 hours in route,512617.500000,38.488752 km/h,rest: 2.000000,total time: 15.318631 
217678,55.59003931,37.227566347,313605,52.599222,39.392841,26527.340750,7.368706 hours in route,461322.200000,62.605594 km/h,rest: 0.000000,total time: 7.368706 ,29869.976550,8.297216 hours in route,466661.300000,56.243120 km/h,rest: 2.000000,total time: 10.297216 ,35168.450250,9.769014 hours in route,450157.900000,46.080178 km/h,rest: 0.000000,total time: 9.769014 
217678,55.59003931,37.227566347,314751,53.320124,34.248998,23568.688400,6.546858 hours in route,367122.000000,56.076061 km/h,rest: 0.000000,total time: 6.546858 ,27795.233000,7.720898 hours in route,371608.300000,48.130191 km/h,rest: 0.000000,total time: 7.720898 ,33516.574550,9.310160 hours in route,412553.300000,44.312162 km/h,rest: 0.000000,total time: 9.310160 
217678,55.59003931,37.227566347,315036,46.383882,48.004837,85427.367100,23.729824 hours in route,1402584.500000,59.106401 km/h,rest: 10.000000,total time: 33.729824 ,92416.838000,25.671344 hours in route,1401713.900000,54.602280 km/h,rest: 12.000000,total time: 37.671344 ,107165.524950,29.768201 hours in route,1409343.600000,47.343929 km/h,rest: 10.000000,total time: 39.768201 
