SRC,SRC_lat,SRC_lon,DST,DST_lat,DST_lon
132170,45.054368,39.069009,217678,55.59003931,37.227566347
132170,45.054368,39.069009,301239,47.366836,39.717654
132170,45.054368,39.069009,301562,44.662814,41.895601
132170,45.054368,39.069009,312617,55.818728,38.244617
217678,55.59003931,37.227566347,132170,45.054368,39.069009
217678,55.59003931,37.227566347,218616,47.366609,39.716696
217678,55.59003931,37.227566347,300169,56.084241,37.155839
217678,55.59003931,37.227566347,301562,44.662814,41.895601
217678,55.59003931,37.227566347,303945,56.72846,60.577676
217678,55.59003931,37.227566347,305087,53.101059,46.583837
217678,55.59003931,37.227566347,310498,56.072313,47.231244
217678,55.59003931,37.227566347,313603,59.207363,39.792313
217678,55.59003931,37.227566347,313605,52.599222,39.392841
217678,55.59003931,37.227566347,314751,53.320124,34.248998
217678,55.59003931,37.227566347,315036,46.383882,48.004837
217678,55.59003931,37.227566347,315704,57.662651,39.78925
217678,55.59003931,37.227566347,315705,57.927544,59.991148
217678,55.59003931,37.227566347,315787,46.312222133,39.946713271
217678,55.59003931,37.227566347,316646,59.797371,30.453229
217678,55.59003931,37.227566347,317996,51.705626,55.109873
217678,55.59003931,37.227566347,321922,54.483441,36.218069
217678,55.59003931,37.227566347,301239,47.366836,39.717654
300169,56.084241,37.155839,132170,45.054368,39.069009
300169,56.084241,37.155839,217678,55.59003931,37.227566347
300169,56.084241,37.155839,218616,47.366609,39.716696
300169,56.084241,37.155839,301562,44.662814,41.895601
300169,56.084241,37.155839,303945,56.72846,60.577676
300169,56.084241,37.155839,305087,53.101059,46.583837
300169,56.084241,37.155839,310498,56.072313,47.231244
300169,56.084241,37.155839,313603,59.207363,39.792313
300169,56.084241,37.155839,313605,52.599222,39.392841
300169,56.084241,37.155839,314751,53.320124,34.248998
300169,56.084241,37.155839,315036,46.383882,48.004837
300169,56.084241,37.155839,315704,57.662651,39.78925
300169,56.084241,37.155839,315705,57.927544,59.991148
300169,56.084241,37.155839,315787,46.312222133,39.946713271
300169,56.084241,37.155839,316646,59.797371,30.453229
300169,56.084241,37.155839,317996,51.705626,55.109873
300169,56.084241,37.155839,321922,54.483441,36.218069
301239,47.366836,39.717654,217678,55.59003931,37.227566347
301562,44.662814,41.895601,132170,45.054368,39.069009
303945,56.72846,60.577676,312617,55.818728,38.244617
305087,53.101059,46.583837,217678,55.59003931,37.227566347
305087,53.101059,46.583837,312617,55.818728,38.244617
310498,56.072313,47.231244,217678,55.59003931,37.227566347
312617,55.818728,38.244617,132170,45.054368,39.069009
312617,55.818728,38.244617,217678,55.59003931,37.227566347
312617,55.818728,38.244617,301239,47.366836,39.717654
312617,55.818728,38.244617,301562,44.662814,41.895601
312617,55.818728,38.244617,303945,56.72846,60.577676
312617,55.818728,38.244617,305087,53.101059,46.583837
312617,55.818728,38.244617,310498,56.072313,47.231244
312617,55.818728,38.244617,313603,59.207363,39.792313
312617,55.818728,38.244617,313605,52.599222,39.392841
312617,55.818728,38.244617,314751,53.320124,34.248998
312617,55.818728,38.244617,315036,46.383882,48.004837
312617,55.818728,38.244617,315704,57.662651,39.78925
312617,55.818728,38.244617,315705,57.927544,59.991148
312617,55.818728,38.244617,315787,46.312222133,39.946713271
312617,55.818728,38.244617,316646,59.797371,30.453229
312617,55.818728,38.244617,317996,51.705626,55.109873
312617,55.818728,38.244617,321922,54.483441,36.218069
313603,59.207363,39.792313,300169,56.084241,37.155839
313605,52.599222,39.392841,217678,55.59003931,37.227566347
314751,53.320124,34.248998,300169,56.084241,37.155839
315036,46.383882,48.004837,217678,55.59003931,37.227566347
315036,46.383882,48.004837,312617,55.818728,38.244617
316646,59.797371,30.453229,300169,56.084241,37.155839
317470,55.607946,37.021136,132170,45.054368,39.069009
317470,55.607946,37.021136,217678,55.59003931,37.227566347
317470,55.607946,37.021136,316646,59.797371,30.453229
317470,55.607946,37.021136,321922,54.483441,36.218069
317470,55.607946,37.021136,301239,47.366836,39.717654
317470,55.607946,37.021136,301562,44.662814,41.895601
317470,55.607946,37.021136,313603,59.207363,39.792313
317470,55.607946,37.021136,317996,51.705626,55.109873
317470,55.607946,37.021136,305087,53.101059,46.583837
317470,55.607946,37.021136,315704,57.662651,39.78925
317470,55.607946,37.021136,315036,46.383882,48.004837
317470,55.607946,37.021136,313605,52.599222,39.392841
317470,55.607946,37.021136,310498,56.072313,47.231244
317470,55.607946,37.021136,314751,53.320124,34.248998
317470,55.607946,37.021136,315787,46.312222133,39.946713271
317996,51.705626,55.109873,312617,55.818728,38.244617
321922,54.483441,36.218069,317470,55.607946,37.021136
