206298;117986;Абакан;Казань;53.722084;91.382578;55.848147;48.843685;3418;;
206298;120762;Абакан;Электросталь;53.722084;91.382578;55.747074;38.4115;4175;;
206298;507;Абакан;Коледино;53.722084;91.382578;55.38614;37.583393;4311;;
206298;161520;Абакан;Новосибирск Пасечная;53.722084;91.382578;55.141009;82.985385;974;;
206298;213849;Абакан;Кемерово;53.722084;91.382578;55.310288;86.140728;736;;
300862;117986;Абакан 2;Казань;53.719708;91.376873;55.848147;48.843685;3419;;
300862;120762;Абакан 2;Электросталь;53.719708;91.376873;55.747074;38.4115;4176;;
300862;6145;Абакан 2;Красноярск;53.719708;91.376873;56.075378;92.948591;420;;
300862;507;Абакан 2;Коледино;53.719708;91.376873;55.38614;37.583393;4312;;
300862;161520;Абакан 2;Новосибирск Пасечная;53.719708;91.376873;55.141009;82.985385;974;;
300862;213849;Абакан 2;Кемерово;53.719708;91.376873;55.310288;86.140728;737;;
206348;300219;Алексин;Вологда 2;54.437235;37.464906;59.207319;39.800209;631;;
206348;118535;Алексин;Нижний-Новгород;54.437235;37.464906;56.169053;43.895555;590;;
206348;300461;Алексин;Гомель 2;54.437235;37.464906;52.463864;30.940521;603;;
206348;207803;Алексин;Смоленск;54.437235;37.464906;54.786513;32.100785;451;;
206348;152588;Алексин;склад продавца Волгоград;54.437235;37.464906;48.75538;44.440715;893;;
206348;133858;Алексин;Пенза;54.437235;37.464906;53.23448;44.906253;637;;
206348;144649;Алексин;Владимир;54.437235;37.464906;56.09682;40.354817;341;;
206348;686;Алексин;Новосибирск;54.437235;37.464906;54.941901;82.916459;3344;;
206348;207743;Алексин;Пушкино;54.437235;37.464906;55.996703739;37.883953939;198;;
206348;130744;Алексин;Краснодар;54.437235;37.464906;45.054324;39.068987;1210;;
206348;301339;Алексин;СЦ Сочи;54.437235;37.464906;43.611071;39.732701;1480;;
206348;146725;Алексин;склад продавца Тюмень;54.437235;37.464906;57.142984;65.597739;2284;;
206348;208277;Алексин;Невинномысск;54.437235;37.464906;44.662695;41.896576;1300;;
206348;211415;Алексин;Воронеж Промышленная;54.437235;37.464906;51.800428813;39.21810555;364;;
206348;206968;Алексин;Новосёлки;54.437235;37.464906;55.125659;37.556262;85;;
206348;117230;Алексин;Самара;54.437235;37.464906;53.091476;50.126734;1083;;
206348;206319;Алексин;Оренбург;54.437235;37.464906;51.726981;55.100593;1466;;
206348;117866;Алексин;Тамбов;54.437235;37.464906;52.727738;41.387093;385;;
206348;152612;Алексин;склад продавца Ярославль;54.437235;37.464906;57.561682;39.894365;434;;
206348;302597;Алексин;Рязань Окружная;54.437235;37.464906;54.582532;39.766525;206;;
206348;206236;Алексин;Столбы;54.437235;37.464906;55.328742812;37.82100529;124;;
206348;131643;Алексин;Иркутск;54.437235;37.464906;52.319649;104.248228;5160;;
206348;210515;Алексин;Вёшки;54.437235;37.464906;55.918678542;37.562207434;187;;
206348;203799;Алексин;Чебоксары;54.437235;37.464906;56.122826;47.309128;829;;
206348;117986;Алексин;Казань;54.437235;37.464906;55.848147;48.843685;972;;
206348;213896;Алексин;Вёшки 2;54.437235;37.464906;55.918313;37.562209;187;;
206348;120762;Алексин;Электросталь;54.437235;37.464906;55.747074;38.4115;211;;
206348;302856;Алексин;Видное;54.437235;37.464906;55.575239899;37.697530594;141;;
206348;301957;Алексин;Ростов;54.437235;37.464906;47.367953;39.71672;925;;
206348;140302;Алексин;Курск;54.437235;37.464906;51.765435;36.131845;368;;
206348;1733;Алексин;Екатеринбург;54.437235;37.464906;56.767604;60.81316;1975;;
206348;133533;Алексин;Ростов-на-Дону;54.437235;37.464906;47.367228;39.712646;925;;
206348;160030;Алексин;Липецк;54.437235;37.464906;52.599422;39.392793;308;;
206348;300571;Алексин;Екатеринбург Перспективная ;54.437235;37.464906;56.726696;60.578278;1962;;
206348;210127;Алексин;Внуково;54.437235;37.464906;55.58783;37.226277;166;;
206348;144154;Алексин;Симферополь;54.437235;37.464906;45.032496;34.045926;1612;;
206348;301920;Алексин;Пятигорск;54.437235;37.464906;44.033866;43.165161;1436;;
206348;218616;Алексин;Ростов;54.437235;37.464906;47.366609;39.716696;925;;
206348;300865;Алексин;Шелепаново АВИА;54.437235;37.464906;56.113115518;37.180161011;214;;
206348;507;Алексин;Коледино;54.437235;37.464906;55.38614;37.583393;115;;
206348;117442;Алексин;Калуга;54.437235;37.464906;54.483186;36.218078;103;;
206348;159402;Алексин;Склад СПБ пос Шушары Московское шоссе 107к3с1;54.437235;37.464906;59.789885;30.436123;842;;
206348;207016;Алексин;СЦ Белгород;54.437235;37.464906;50.593676;36.679399;518;;
206348;218225;Алексин;Челябинск;54.437235;37.464906;55.150464;61.448817;1878;;
206348;302445;Алексин;Сынково;54.437235;37.464906;55.347781246;37.614404928;110;;
206348;205228;Алексин;Дача;54.437235;37.464906;55.65431;37.888459;157;;
206348;217081;Алексин;Брянск Сталелитейная;54.437235;37.464906;53.320124;34.248998;344;;
206348;207022;Алексин;Грязь;54.437235;37.464906;55.968988;37.320131;193;;
206348;161520;Алексин;Новосибирск Пасечная;54.437235;37.464906;55.141009;82.985385;3355;;
206348;209207;Алексин;Архангельск;54.437235;37.464906;64.57634987;40.596223935;1401;;
214951;1193;Артём;Хабаровск;43.357235;132.122865;48.449121;135.11073;723;;
214951;686;Артём;Новосибирск;43.357235;132.122865;54.941901;82.916459;5755;;
214951;117986;Артём;Казань;43.357235;132.122865;55.848147;48.843685;8172;;
214951;120762;Артём;Электросталь;43.357235;132.122865;55.747074;38.4115;8929;;
