gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";208277;"{""latitude"": 44.662695, ""longitude"": 41.896576}";76268.668300;21.185741 hours in route;1298257.600000;61.279782 km/h;rest: 10.000000;total time: 31.185741 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";211415;"{""latitude"": 51.800428813, ""longitude"": 39.21810555}";22650.637200;6.291844 hours in route;363450.300000;57.765310 km/h;rest: 0.000000;total time: 6.291844 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";206968;"{""latitude"": 55.125659, ""longitude"": 37.556262}";4957.168250;1.376991 hours in route;86009.700000;62.462056 km/h;rest: 0.000000;total time: 1.376991 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";117230;"{""latitude"": 53.091476, ""longitude"": 50.126734}";67540.068900;18.761130 hours in route;1086809.100000;57.928765 km/h;rest: 10.000000;total time: 28.761130 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";206319;"{""latitude"": 51.726981, ""longitude"": 55.100593}";90111.988900;25.031108 hours in route;1470925.800000;58.763911 km/h;rest: 12.000000;total time: 37.031108 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";117866;"{""latitude"": 52.727738, ""longitude"": 41.387093}";24764.383700;6.878995 hours in route;388412.500000;56.463549 km/h;rest: 0.000000;total time: 6.878995 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";152612;"{""latitude"": 57.561682, ""longitude"": 39.894365}";25580.363350;7.105656 hours in route;427554.800000;60.171048 km/h;rest: 0.000000;total time: 7.105656 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";302597;"{""latitude"": 54.582532, ""longitude"": 39.766525}";14379.285150;3.994246 hours in route;207719.700000;52.004735 km/h;rest: 0.000000;total time: 3.994246 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";206236;"{""latitude"": 55.328742812, ""longitude"": 37.82100529}";7211.277950;2.003133 hours in route;125404.800000;62.604338 km/h;rest: 0.000000;total time: 2.003133 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";131643;"{""latitude"": 52.319649, ""longitude"": 104.248228}";313001.637500;86.944899 hours in route;5177578.900000;59.550117 km/h;rest: 50.000000;total time: 136.944899 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";210515;"{""latitude"": 55.918678542, ""longitude"": 37.562207434}";10347.399650;2.874278 hours in route;188871.000000;65.710770 km/h;rest: 0.000000;total time: 2.874278 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";203799;"{""latitude"": 56.122826, ""longitude"": 47.309128}";47956.320200;13.321200 hours in route;830162.200000;62.318875 km/h;rest: 2.000000;total time: 15.321200 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";117986;"{""latitude"": 55.848147, ""longitude"": 48.843685}";56312.198400;15.642277 hours in route;962180.000000;61.511504 km/h;rest: 2.000000;total time: 17.642277 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";213896;"{""latitude"": 55.918313, ""longitude"": 37.562209}";10419.240950;2.894234 hours in route;189060.300000;65.323096 km/h;rest: 0.000000;total time: 2.894234 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";120762;"{""latitude"": 55.747074, ""longitude"": 38.4115}";11472.913350;3.186920 hours in route;212922.600000;66.811396 km/h;rest: 0.000000;total time: 3.186920 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";302856;"{""latitude"": 55.575239899, ""longitude"": 37.697530594}";7817.898300;2.171638 hours in route;143033.300000;65.864234 km/h;rest: 0.000000;total time: 2.171638 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";301957;"{""latitude"": 47.367953, ""longitude"": 39.71672}";53900.535750;14.972371 hours in route;920267.800000;61.464400 km/h;rest: 2.000000;total time: 16.972371 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";140302;"{""latitude"": 51.765435, ""longitude"": 36.131845}";24171.752250;6.714376 hours in route;369977.000000;55.102220 km/h;rest: 0.000000;total time: 6.714376 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";1733;"{""latitude"": 56.767604, ""longitude"": 60.81316}";116606.017100;32.390560 hours in route;1983675.700000;61.242402 km/h;rest: 20.000000;total time: 52.390560 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";133533;"{""latitude"": 47.367228, ""longitude"": 39.712646}";53977.948900;14.993875 hours in route;920691.100000;61.404481 km/h;rest: 2.000000;total time: 16.993875 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";160030;"{""latitude"": 52.599422, ""longitude"": 39.392793}";19619.195150;5.449776 hours in route;306932.300000;56.320164 km/h;rest: 0.000000;total time: 5.449776 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";300571;"{""latitude"": 56.726696, ""longitude"": 60.578278}";115472.323450;32.075645 hours in route;1969620.300000;61.405477 km/h;rest: 20.000000;total time: 52.075645 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";210127;"{""latitude"": 55.58783, ""longitude"": 37.226277}";9129.416950;2.535949 hours in route;167718.000000;66.136184 km/h;rest: 0.000000;total time: 2.535949 
gazel;1;206348;"{""latitude"": 54.437235, ""longitude"": 37.464906}";144154;"{""latitude"": 45.032496, ""longitude"": 34.045926}";96433.786200;26.787163 hours in route;1616098.300000;60.331074 km/h;rest: 12.000000;total time: 38.787163 
