,ID,lat,lon
178,2487,55.998312,37.20992
179,2498,55.36322,37.517087
180,2500,55.67984939,37.60693089
181,2515,55.910145,37.391565
182,2528,55.65116671,37.74857277
183,2533,55.61916507,37.74580598
184,2547,55.425389,37.496122
185,2561,55.97782815,37.74809953
186,2576,55.904271,37.699148
187,2579,55.678209,37.578531
188,2583,55.56516995,38.23685348
189,2584,55.69480016,37.80296862
190,2585,55.933458,37.855711
191,2592,55.83477,37.664941
192,2593,55.72584451,37.77181685
193,2603,55.807886,37.71908794
194,2604,55.90673676,37.8480465
195,2616,55.83629507,37.93433463
196,2628,55.68017498,37.27018853
197,2633,55.89868044,37.44616964
198,2636,55.932204,37.495664
199,2644,54.8885,38.087173
200,2656,55.65392147,37.61781595
201,2663,55.74467386,37.80008249
202,2667,55.889295,37.664806
203,2696,55.576599,39.54833
204,2723,55.58352539,37.69469526
205,2729,55.81334682,39.0021621
206,2741,55.407701,37.563082
207,2751,55.50230923,37.55568782
208,2756,55.78936731,37.88349566
209,2758,56.35747762,37.52936173
210,2763,55.72649016,37.96928044
211,2776,55.90989153,37.7245
212,2777,55.96163831,37.52617129
213,2778,55.99729,37.190085
214,2780,55.7803205,38.44188746
215,2781,55.76875355,37.60492943
216,2783,55.7335943,37.41015517
217,2785,55.6721,37.8753
218,2791,55.6266,37.3135
219,2793,54.83843,38.240999
220,2799,56.255673,37.968706
221,2800,56.13143716,37.50500103
222,2807,55.676734,37.668071
223,2809,55.781286,37.600388
224,2821,55.421086,37.53621
225,2824,55.504919,36.027932
226,2825,55.8733,37.3922
227,2827,55.60490306,37.71000441
228,2830,55.60401,38.08829
229,2832,55.70697361,37.57184359
230,2834,55.8378882,37.46367525
231,2853,55.76935656,37.82203002
232,2855,55.75770383,37.79837199
233,2859,55.340555,38.722193
234,2874,55.7301,36.856
235,2884,55.92038496,37.97103325
236,2885,55.59546803,37.04379177
237,2886,55.854311,37.607503
238,2895,54.47370493,38.72537673
239,2898,56.355894,37.550133
240,2905,55.79252089,37.60501192
241,2907,55.816538,37.695829
242,2910,55.95245043,37.49564657
243,2911,55.08826976,38.78771121
244,2915,55.43402357,37.55176122
245,2920,56.032265,35.50773536
246,2928,55.72873905,37.66901032
247,2929,55.62641164,37.65620173
248,2930,55.60041398,37.72053236
249,2933,55.77133785,37.58767797
250,2934,55.84744674,37.17498141
251,2935,55.779139,37.721488
252,2936,55.874799,37.548995
253,2938,55.8238696,37.65783195
254,2939,55.379732,37.541342
255,2940,54.852428,38.520442
256,2942,55.82328133,37.55902004
257,2944,55.884252,37.435116
258,2945,55.7245,37.4553
259,2946,55.84822,37.421794
260,2981,55.57789934,38.91884707
261,2983,55.74635472,37.87744087
262,2984,55.771829,37.846939
263,2985,55.8331,37.9659
264,2986,55.838233,38.406635
265,2990,55.718306,37.63021
266,2991,55.77412611,37.61595909
267,2993,55.76156906,37.63133068
268,2996,55.421206,37.570693
269,2999,55.5954473,37.34248087
270,3000,56.018734,37.430841
271,3036,55.573009,38.20243
272,3037,55.58824165,38.20393436
273,3039,55.63439625,37.84420631
274,3040,55.70325178,37.93577359
275,3043,55.659219,37.855739
276,3044,55.70124222,37.88604074
277,3052,56.75462053,37.13563449
278,3056,55.67743603,37.44771567
279,3060,55.64903624,37.76467681
280,3070,55.60803334,37.73375185
281,3073,55.63370669,37.74042055
282,3074,55.82455385,37.62317422
283,3093,55.925838,37.758042
284,3095,56.31512536,38.1376411
285,3103,55.948669,38.044937
286,3104,55.83976168,37.43912081
287,3138,55.897525,37.477816
288,3143,56.331202,38.140907
289,3147,55.86556534,37.11498324
290,3187,55.250705,38.759204
291,3195,55.68187766,37.7618859
292,3201,56.02392,37.472691
293,3207,55.407641,37.571074
294,3210,55.35777099,37.5257873
295,3212,55.83449362,37.2744526
296,3213,55.886712,38.450771
297,3215,55.78969,37.807342
298,3245,55.60211715,37.55497314
299,3253,56.3248343,36.75415695
300,3257,55.68003048,37.54726957
301,3264,56.416701,38.172315
302,3265,55.8430719,38.19632273
303,3289,55.87330121,37.64445507
304,3290,55.62559349,38.00506667
305,3294,55.97306259,37.90692257
306,3295,55.869016,37.555274
307,3300,55.90333042,38.15521555
308,3302,56.321764,36.554112
309,3305,55.781495,37.741539
310,3317,55.75292874,38.11751703
311,3338,55.574421,37.908186
312,3344,55.894344,37.542432
313,3347,55.081893,38.776104
314,3351,55.86835544,37.63856836
315,3358,55.721908,37.664475
316,3359,55.714236,37.670565
317,3363,55.940209,36.714703
318,3364,55.71212981,37.77954289
319,3366,55.751374,37.998039
320,3379,56.3351551,37.5413302
321,3404,56.12287924,38.14023137
322,3407,55.42576403,37.77440149
323,3415,55.50665264,36.01641359
324,3422,55.87999306,37.56023166
325,3472,56.74112153,37.16824798
326,3494,55.5572779,37.70243916
327,3495,55.94453336,37.48767591
328,3501,55.45237924,37.73542682
329,3510,55.68135584,37.45491335
330,3532,55.66971066,37.47230694
331,3536,55.797893,37.964169
332,3537,55.819181,39.003053
333,3541,55.88823201,37.53964985
334,3552,55.731524,37.853607
335,3562,55.72849899,37.41124234
336,3564,54.93845919,37.40490001
337,3572,55.65261761,37.55688993
338,3583,55.551141,37.689254
339,3587,55.145102,37.454681
340,3590,55.903817,38.064215
341,3597,55.748858,37.597414
342,3601,55.79998049,37.80497325
343,3604,55.68383465,37.29840207
344,3608,55.989474,37.226131
345,3609,55.89990737,38.0680865
346,3613,55.65382587,37.38588654
347,3614,55.59427509,37.59788214
348,3615,55.81810599,37.52358281
349,3616,56.10287668,38.13139792
350,3619,55.6449222,37.49517253
351,3620,55.412293,37.84017
352,3621,55.44136044,37.76949132
353,3622,55.416121,37.760836
354,3629,55.80587183,38.43578143
355,3644,55.671874,37.541036
356,3645,55.79149286,37.79391189
357,3648,55.790914,37.964205
358,3649,55.83937,37.303749
359,3661,55.76069266,37.57361422
360,3666,55.607951,37.580175
361,3699,56.00989853,37.4713329
362,3702,55.91295836,37.99412666
363,3713,55.79613093,38.43908847
364,3721,55.57673091,39.52157524
365,3732,55.72494247,36.87375266
366,3736,55.92854992,37.9971479
367,3766,55.927346,37.847586
368,3792,55.90413881,37.59128041
369,3795,55.91694172,37.84265355
370,3803,55.63693181,37.22126236
371,3813,55.590964,37.612002
372,3814,55.523606,37.514835
373,3815,55.59462279,38.25330911
374,3826,55.987436,37.18136
375,3829,55.91897642,37.76156945
376,3847,54.889006,38.078141
377,3903,55.90999946,38.04819231
378,3906,55.6473,37.715534
379,3907,55.902576,38.143131
380,3913,55.74094903,37.47445437
381,3917,55.270685,38.736148
382,3920,55.914921,38.113338
383,3921,55.85258535,37.42117234
384,3928,55.15974171,37.48392517
